SpecCode,Species,Autoctr,Stockcode,PopCharRefNo,Sex,SourceRef,Wmax,TypeWeight,Lmax,Type,tmax,Locality,C_Code,Entered,DateEntered,Modified,DateModified,Expert,DateChecked,Comments,SameWL,SameLt,TS
876,Carcharhinus macloti,3048,892,47613,unsexed,NA,NA,NA,100,TL,NA,Persian Gulf and Oman Sea from Bushehr to Chabhar,364,1124,08/07/2003 00:00,NA,08/07/2003 00:00,NA,NA,NA,0,0,NA
63792,Carcharhinus macrops,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,Carcharhinus melanopterus,8034,893,58048,unsexed,NA,NA,NA,180,TL,NA,not specified,360,1790,14/02/2008 00:10,NA,14/02/2008 00:10,NA,NA,NA,0,0,NA
877,Carcharhinus melanopterus,16583,893,89972,unsexed,NA,NA,NA,200,TL,NA,Not specified.,258,2291,09/09/2014 00:00,NA,09/09/2014 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,766,894,32086,female,32086,NA,NA,NA,NA,33,"Cape Cod to Florida E. coast, 1963-93",840,3,06/03/2000 00:00,NA,03/06/2000 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,768,894,41862,female,41862,NA,NA,282,FL,NA,south-western Western Australia,36,3,16/05/2002 00:00,NA,16/05/2002 00:00,NA,NA,Direct estimation of Tmax not possible because of few large specimens. Oldest fish aged was 32 yrs (274 cm FL).,0,0,NA
878,Carcharhinus obscurus,16460,894,97041,female,97041,NA,NA,NA,NA,45,Western Australian,36,3,26/08/2014 00:00,NA,26/08/2014 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,6974,894,5951,male,NA,NA,NA,329,TL,NA,Canadian Atlantic,124,1472,12/07/2007 00:00,NA,12/07/2007 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,6867,894,30214,mixed,NA,NA,NA,NA,NA,45,Atlantic,840,1,09/02/2007 00:00,1,09/02/2007 00:00,NA,NA,Based on life table analysis.,0,0,NA
878,Carcharhinus obscurus,762,894,3678,unsexed,NA,NA,NA,350,TL,NA,South Africa,710,3,31/05/1992 00:00,NA,20/05/1993 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,763,894,6390,unsexed,6390,323500,NA,345,NG,35,southern waters,36,2,18/02/1998 00:00,NA,22/06/1998 00:00,NA,NA,Tmax value is the lower limit.,0,0,NA
878,Carcharhinus obscurus,765,894,27093,unsexed,27093,NA,NA,303,FL,NA,Not specified.,NA,3,04/08/1998 00:00,NA,04/08/1998 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,764,894,6871,unsexed,31395,NA,NA,365,TL,40,Not stated.,36,2,22/09/1998 00:00,1,16/05/2002 00:00,NA,NA,Lmax of 365 TL will probably yield a Tmax of 42 yrs (Ref. 41862).,0,-1,NA
878,Carcharhinus obscurus,767,894,34089,unsexed,NA,NA,NA,NA,NA,30,Western North Atlantic.,NA,1,19/05/2000 00:00,NA,19/05/2000 00:00,NA,NA,NA,0,0,NA
878,Carcharhinus obscurus,8035,894,58048,unsexed,NA,NA,NA,400,SL,NA,not specified,360,1790,14/02/2008 00:13,NA,14/02/2008 00:13,NA,NA,NA,0,0,NA
879,Carcharhinus perezii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
880,Carcharhinus plumbeus,769,896,3599,female,NA,NA,NA,154,FL,15,"Gt. Machipongo In., VA & Mid-Atl. Bight",840,3,21/05/1992 00:00,NA,10/05/1993 00:00,NA,NA,NA,0,-1,NA
880,Carcharhinus plumbeus,771,896,4857,female,NA,NA,NA,157,FL,32,Western North Atlantic,840,3,05/11/1992 00:00,NA,10/05/1993 00:00,NA,NA,tmax for sandbar sharks probably >50 yrs,0,-1,NA
880,Carcharhinus plumbeus,772,896,31395,female,31395,NA,NA,239,TL,30,Not given.,NA,1,04/10/1999 00:00,2,10/05/2006 00:00,NA,NA,NA,0,-1,NA
880,Carcharhinus plumbeus,16461,896,97041,female,97041,NA,NA,NA,NA,33,Western Australian,36,3,26/08/2014 00:00,NA,26/08/2014 00:00,NA,NA,NA,0,0,NA
880,Carcharhinus plumbeus,770,896,3599,male,NA,NA,NA,204,FL,21,"Gt. Machipongo In., VA & Mid-Atl. Bight",840,3,21/05/1992 00:00,NA,10/05/1993 00:00,NA,NA,NA,0,-1,NA
880,Carcharhinus plumbeus,6866,896,30214,mixed,NA,NA,NA,NA,NA,35,Atlantic Ocean,840,1,09/02/2007 00:00,NA,09/02/2007 00:00,NA,NA,NA,0,0,NA
880,Carcharhinus plumbeus,8036,896,58048,unsexed,NA,NA,NA,280,TL,NA,not specified,360,1790,14/02/2008 00:27,NA,14/02/2008 00:27,NA,NA,NA,0,0,NA
880,Carcharhinus plumbeus,8250,896,13277,unsexed,13277,NA,NA,180.5,SL,NA,"Gulf of Aqaba, 1989",376,97,17/03/2008 00:00,NA,24/03/2008 00:00,NA,NA,Recorded from 350 m deep.,0,0,NA
880,Carcharhinus plumbeus,9840,896,92315,unsexed,92315,NA,NA,146,FL,34,Western North Atlantic,840,3,30/11/2012 00:00,NA,30/11/2012 00:00,NA,NA,34 yrs was the mean age from tag-recapture data (time at liberty: 27.8 yrs; age at tagging: 5-8 yrs). Validated age estimates using bomb radiocarbon dating to aprrox. 26 yrs .,0,0,NA
881,Carcharhinus porosus,773,897,27971,female,27971,NA,NA,128,TL,12,"Maranh<e3>o coast, 1984-87",76,3,29/01/1999 00:00,NA,29/01/1999 00:00,NA,NA,NA,0,0,NA
881,Carcharhinus porosus,13821,897,86285,unsexed,86285,7600,NA,110,TL,NA,Not stated,9999,14,02/05/2013 00:00,NA,02/05/2013 00:00,NA,NA,"Castro, in press.",0,0,NA
882,Carcharhinus sealei,774,898,3678,unsexed,NA,NA,NA,100,TL,NA,South Africa,710,3,31/05/1992 00:00,NA,26/05/1993 00:00,NA,NA,NA,0,0,NA
882,Carcharhinus sealei,8037,898,58048,unsexed,NA,NA,NA,95,TL,NA,not specified,360,1790,14/02/2008 00:35,NA,14/02/2008 00:35,NA,NA,NA,0,0,NA
883,Carcharhinus signatus,4852,899,52677,female,52677,NA,NA,252,TL,17,"seamounts (38-370 m depths), 1995-97",76,3,10/12/2004 00:00,NA,10/12/2004 00:00,NA,NA,Sex of the 17 yr-old (oldest) specimen was unknown.,0,0,NA
883,Carcharhinus signatus,775,899,27093,unsexed,27094,NA,NA,235,FL,NA,Northern American waters,840,3,04/08/1998 00:00,NA,04/08/1998 00:00,NA,NA,NA,0,0,NA
884,Carcharhinus sorrah,776,900,6088,female,NA,NA,NA,NA,NA,7,"Arafura Sea and Timor Sea, 1980-84",36,3,12/09/1993 00:00,NA,12/09/1993 00:00,NA,NA,NA,0,0,NA
884,Carcharhinus sorrah,777,900,6088,male,NA,NA,NA,NA,NA,5,"Arafura Sea and Timor Sea, 1980-84",36,3,12/09/1993 00:00,NA,12/09/1993 00:00,NA,NA,NA,0,0,NA
884,Carcharhinus sorrah,778,900,6390,unsexed,NA,28000,NA,160,TL,8,northern coasts,36,2,19/03/1998 00:00,2,21/03/1998 00:00,NA,NA,NA,0,0,NA
884,Carcharhinus sorrah,2965,900,47533,unsexed,NA,NA,NA,160,TL,NA,Persian Gulf and Oman Sea,364,1124,07/07/2003 00:00,1124,08/07/2003 00:00,NA,NA,Reported from Chabahar waters (Ref. 47613).,0,0,NA
15721,Carcharhinus tilstoni,2494,14846,6390,unsexed,NA,52000,NA,200,TL,12,northern coasts,36,2,19/03/1998 00:00,2,09/06/1998 00:00,NA,NA,"Young increases in length by about 20 cm in the first year, or by 17 cm TL (Ref. 6088), declining to 8-10 cm/year by 5 yrs of  age",0,0,NA
67456,Carcharhinus tjutjot,16581,58728,89954,female,NA,NA,NA,91.8,TL,NA,southern waters,360,14,08/09/2014 00:00,NA,08/09/2014 00:00,NA,NA,34.1-91.8 cm TL,0,0,NA
