Higher taxonomy,Order,Family,Species,Maximum size (cm),von Bertalanffy growth rate (k),Maximum Age,Age at maturity,Litter size,interbirth interval,rmax,Habitat,Reference
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Lamnidae,Isurus oxyrinchus,385,0.05,21,15,12.5,3,0.167,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Lamnidae,Lamna ditropis,257.3,0.17,20,7.5,4.5,1,0.333,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Lamnidae,Lamna nasus,324.3,0.07,26,13,4,1,0.192,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Lamniformes,Odontaspididae,Carcharias taurus,269.5,0.136,12,6.9,2,2,0.362,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Orectolobiformes,Rhincodontidae,Rhincodon typus,1370,0.026,40,27.4,300,2,0.091,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Hexanchiformes,Hexanchidae,Notorynchus cepedianus,291,0.291,28.5,16,88.5,2,0.156,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Centrophoridae,Centrophorus acus,160.8,0.155,NA,20,5,2,0.125,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Centrophoridae,Centrophorus granulosus,128,0.134,25,12.2,1,2,0.205,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Centrophoridae,Centrophorus squamosus,145,0.025,70,44,8.1,2.5,0.057,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Centrophoridae,Centroselachus crepidater,99.5,0.072,57,20,6,2,0.125,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Centrophoridae,Deania calcea,119,0.077,35,25,13,4,0.1,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Dalatiidae,Dalatias licha,182,0.198,18.4,6.8,12,3,0.368,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Etmopteridae,Etmopterus baxteri,88,0.038,57,30,11,3,0.083,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Etmopteridae,Etmopterus spinax,46,0.22,7,5,6.8,2,0.5,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Squalidae,Squalus acanthias,110,0.089,30,12.5,8,2,0.2,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Squalidae,Squalus blainvillei,92,0.102,15,5.1,4,2,0.49,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Squalidae,Squalus megalops,78.2,0.032,32,15,3,2,0.167,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squaliformes,Squalidae,Squalus mitsukurii,91,0.041,27,15,3.6,2,0.167,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squatiniformes,Squatinidae,Squatina californica,118,0.162,35,10,6,1,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squatiniformes,Squatinidae,Squatina guggenheim,92,0.275,12,4,5.5,3,0.625,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
"Subclass NEOSELACHII, Cohort SELACHII",Squatiniformes,Squatinidae,Squatina occulta,131,0.129,21,10,6,4,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
