Higher taxonomy,Order,Family,Species,Maximum size (cm),von Bertalanffy growth rate (k),Maximum Age,Age at maturity,Litter size,interbirth interval,rmax,Habitat,Reference
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Bathyraja parmifera,119,0.087,17,10,NA,1,0.25,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Bathyraja trachura,91,0.08,17,14.5,NA,1,0.172,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Dipturus batis,235,0.057,50,11,NA,1,0.227,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Dipturus chilensis,168,0.084,22.5,14,48.2,1,0.179,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Dipturus innominatus,240,0.095,24,13,NA,1,0.192,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Dipturus nasutus,118,0.16,9,5.7,NA,1,0.439,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Dipturus pullopunctatus,113.7,0.05,18,12.5,NA,1,0.2,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Dipturus trachydermus,253,0.079,26,17,48.7,1,0.147,deep,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Leucoraja erinacea,54,0.352,8,4,30,1,0.625,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Leucoraja naevus,72,0.108,14,9,90,1,0.278,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Leucoraja ocellata,100,0.059,29,11.5,35,1,0.217,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Malacoraja senta,66,0.125,14,5.7,NA,1,0.439,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja asterias,64,0.454,6.3,3.7,73,1,0.676,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja binoculata,203.9,0.09,26,8,1260,1,0.313,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja brachyura,109,0.129,8,5.5,90,1,0.455,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja clavata,104.4,0.091,10,5.6,142,1,0.446,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
Subclass NEOSELACHII - Cohort BATOIDEA,Rajiformes,Rajidae,Raja microocellata,87.5,0.086,9,5,57.5,1,0.5,shallow,"García VB, Lucifora LO, Myers RA. 2008. The importance of habitat and life history to extinction risk in sharks, skates, rays and chimaeras. Proceedings of the Royal Society of London, B 275: 83-89."
