Order,Family,Species,length_max,k,age_mat,age_max,ave_lifespan,litter_size,breeding interval,annual_productivity,rmax_published_previous,rmax_previous_recalc,rmax_updated_recalc,,,
Lamniformes,Lamnidae,Lamna nasus,324.3,0.07,13,26,19.5,4,1,4,0.16,0.160107567,0.137446621,,,
Lamniformes,Odontaspididae,Carcharias taurus,269.5,0.136,6.9,12,9.45,2,2,1,0.085,0.085489347,0.0633356,,,
Orectolobiformes,Rhincodontidae,Rhincodon typus,1370,0.026,27.4,40,33.7,300,2,150,0.21,0.210133225,0.187519428,,,
Squaliformes,Centrophoridae,Centroselachus crepidater,99.5,0.072,20,57,38.5,6,2,3,0.104,0.107891247,0.100728876,,,
Squaliformes,Centrophoridae,Centrophorus granulosus,128,0.134,12.2,25,18.6,1,2,0.5,0.037,0.037343998,0.034853173,,,
Squaliformes,Centrophoridae,Centrophorus squamosus,145,0.025,44,70,57,8.1,2.5,3.24,0.064,0.064083277,0.054130494,,,
Squaliformes,Centrophoridae,Deania calcea,119,0.077,25,35,30,13,4,3.25,0.096,0.095530009,0.076585681,,,
Squaliformes,Dalatiidae,Dalatias licha,182,0.198,6.8,18.4,12.6,12,3,4,0.242,0.242528103,0.220984202,,,
Squaliformes,Etmopteridae,Etmopterus baxteri,88,0.038,30,57,43.5,11,3,3.666666667,0.087,0.087498716,0.075957543,,,
Squaliformes,Etmopteridae,Etmopterus spinax,46,0.22,5,7,6,6.8,2,3.4,0.267,0.266222544,0.183380911,,,
Squaliformes,Squalidae,Squalus acanthias,110,0.089,12.5,30,21.25,8,2,4,0.155,0.164317832,0.147143681,,,
Squaliformes,Squalidae,Squalus blainvillei,92,0.102,5.1,15,10.05,4,2,2,0.181,0.181409174,0.178268372,,,
Squaliformes,Squalidae,Squalus megalops,78.2,0.032,15,32,23.5,3,2,1.5,0.094,0.09359945,0.081497801,,,
Squaliformes,Squalidae,Squalus mitsukurii,91,0.041,15,27,21,3.6,2,1.8,0.103,0.103037109,0.084601371,,,
Squatiniformes,Squatinidae,Squatina californica,118,0.162,10,35,22.5,6,1,6,0.223,0.2232558,0.213528388,,,
Squatiniformes,Squatinidae,Squatina guggenheim,92,0.275,4,12,8,5.5,3,1.833333333,0.18,0.179629256,0.184285105,,,
Squatiniformes,Squatinidae,Squatina occulta,131,0.129,10,21,15.5,6,4,1.5,0.119,0.112865408,0.096998614,,,
Myliobatiformes,Dasyatidae,Dasyatis americana,200,0.2,5.5,18,11.75,4.2,1,4.2,0.283,0.283352398,0.269553303,,,
Myliobatiformes,Dasyatidae,Dasyatis chrysonota,71.9,0.07,7,10,8.5,6.2,1,6.2,0.289,0.289498904,0.221867248,,,
Myliobatiformes,Dasyatidae,Dasyatis dipterura,83,0.05,9.5,28,18.75,2,1,2,0.138,0.138536508,0.133123212,,,
Myliobatiformes,Dasyatidae,Dasyatis pastinaca,51,0.089,3.7,10,6.85,6.2,1,6.2,0.448,0.447955957,0.395480513,,,
Myliobatiformes,Dasyatidae,Pteroplatytrygon violacea,96,0.41,3,24,13.5,4.5,1,4.5,0.428,0.427621208,0.480791564,,,
Myliobatiformes,Myliobatidae,Aetobatus flagellum,150,0.111,6,16,11,3.5,1,3.5,0.215,0.243969062,0.221585282,,,
Myliobatiformes,Myliobatidae,Myliobatis californicus,140,0.099,5,24,14.5,3.8,1,3.8,0.282,0.284154568,0.296263795,,,
Myliobatiformes,Rhinopteridae,Rhinoptera bonasus,104.8,0.097,6,15.5,10.75,1,1,1,0.085,0.084170953,0.089724271,,,
Myliobatiformes,Urolophidae,Trygonoptera mucosa,36.9,0.241,5,16,10.5,1.1,1,1.1,0.093,0.093232194,0.116486948,,,
Myliobatiformes,Urolophidae,Trygonoptera personata,31.1,0.143,4,14,9,1.2,1,1.2,0.101,0.100538673,0.138605218,,,
Myliobatiformes,Urolophidae,Urolophus lobatus,27.7,0.369,3,14,8.5,1.3,1,1.3,0.102,0.101823249,0.185682128,,,
Myliobatiformes,Urolophidae,Urolophus paucimaculatus,29.8,0.237,4,12,8,2.5,1,2.5,0.241,0.239736648,0.231740722,,,
Pristiformes,Pristidae,Pristis perotteti,430,0.089,10,30,20,7.3,2,3.65,0.183,0.182684925,0.171686673,,,
Rajiformes,Rajidae,Amblyraja radiata,105,0.13,11,16,13.5,31,1,31,0.336,0.335965429,0.284205752,,,
Rajiformes,Rajidae,Dipturus chilensis,168,0.084,14,22.5,18.25,48.2,1,48.2,0.304,0.30354892,0.26504833,,,
Rajiformes,Rajidae,Dipturus trachydermus,253,0.079,17,26,21.5,48.7,1,48.7,0.259,0.258738548,0.225656918,,,
Rajiformes,Rajidae,Leucoraja erinacea,54,0.352,4,8,6,30,1,30,0.769,0.768665325,0.655138624,,,
Rajiformes,Rajidae,Leucoraja naevus,72,0.108,9,14,11.5,90,1,90,0.501,0.500970243,0.435848861,,,
Rajiformes,Rajidae,Leucoraja ocellata,100,0.059,11.5,29,20.25,35,1,35,0.333,0.333215513,0.304721456,,,
Rajiformes,Rajidae,Raja asterias,64,0.454,3.7,6.3,5,73,1,73,1.043,1.041469885,0.883849061,,,
Rajiformes,Rajidae,Raja binoculata,203.9,0.09,8,26,17,1260,1,1260,0.858,0.858565211,0.814461362,,,
Rajiformes,Rajidae,Raja brachyura,109,0.129,5.5,8,6.75,90,1,90,0.768,0.768629622,0.652371229,,,
Rajiformes,Rajidae,Raja clavata,104.4,0.091,5.6,10,7.8,142,1,142,0.843,0.83121362,0.731301311,,,
Rajiformes,Rajidae,Raja microocellata,87.5,0.086,5,9,7,57.5,1,57.5,0.754,0.754270345,0.649457033,,,
Rajiformes,Rajidae,Raja miraletus,71.7,0.172,2.3,8.2,5.25,61,1,61,1.522,1.53430634,1.395139282,,,
Rajiformes,Rajidae,Raja montagui,74,0.204,4.6,7,5.8,60,1,60,0.831,0.819386295,0.686722213,,,
Rhinobatiformes,Rhinobatidae,Rhinobatos horkelii,135,0.194,6.5,28,17.25,6,1,6,0.291,0.30046558,0.29691643,,,
Rhinobatiformes,Rhinobatidae,Rhinobatos productus,130,0.016,7,11,9,9,1,9,0.334,0.334008106,0.268414463,,,
Torpediniformes,Torpedinidae,Torpedo californica,102,0.073,9,16,12.5,17,1,17,0.338,0.337885247,0.28854261,,,
Torpediniformes,Torpedinidae,Torpedo marmorata,63,0.088,12.5,20,16.25,11,3,3.666666667,0.159,0.158679348,0.12761503,,,
Torpediniformes,Torpedinidae,Torpedo torpedo,41,0.275,4,10,7,3.4,1,3.4,0.3,0.300965447,0.263838739,,,
Chimaeriformes,Callorhinchidae,Callorhinchus capensis,60,0.051,4.2,12,8.1,22,1,22,0.672,0.671635041,0.604497153,,,
Chimaeriformes,Callorhinchidae,Callorhinchus milii,97,0.224,4.5,15,9.75,13,1,13,0.532,0.532106455,0.491788225,,,
Chimaeriformes,Chimaeridae,Chimaera monstrosa,74,0.084,11.5,29.4,20.45,22,1,22,0.299,0.298086688,0.272023859,,,
Lamniformes,Cetorhinidae,Cetorhinus maximus,980,0.067,10,50,30,6,3,2,0.112865408,0.135017546,0.146895563,,,
