,a50mu,species_full
0,22.55377684745545,Galeocerdo cuvier
0,18.878838021679936,Carcharhinus obscurus
0,11.915121698424421,Carcharhinus albimarginatus
0,14.55936851757084,Carcharhinus falciformis
0,11.71508772554,Carcharhinus amboinensis
0,17.49156101663612,Carcharhinus brachyurus
0,12.632174561853759,Carcharhinus plumbeus
0,12.376897466574283,Carcharhinus leucas
0,11.480512709023598,Carcharhinus brevipinna
0,8.933105550355247,Triaenodon obesus
0,11.115940486124941,Negaprion brevirostris
0,1.9420011716887153,Carcharhinus porosus
0,5.517782834388899,Isogomphodon oxyrhynchus
0,6.991217779917893,Carcharhinus acronotus
0,12.105823655504711,Prionace glauca
0,12.620873308327694,Carcharhinus signatus
0,7.6932966682298405,Carcharhinus cautus
0,8.478214287061473,Carcharhinus limbatus
0,11.908911425235805,Carcharhinus galapagensis
0,9.773367366554261,Carcharhinus amblyrhynchos
0,4.138627801207128,Carcharhinus melanopterus
0,9.72953835127839,Carcharhinus longimanus
0,5.419907991844137,Carcharhinus tilstoni
0,2.693243430789079,Carcharhinus sorrah
0,2.1021001011993614,Rhizoprionodon terraenovae
0,0.7262919948001237,Carcharhinus isodon
0,3.4326328927536114,Rhizoprionodon longurio
0,0.22679161933233016,Rhizoprionodon taylori
0,9.969138955176104,Grand Total
