,a50_ABTP-SWP-13,a50_ATSH-GOM-03,a50_ATSH-NWA-07,a50_ATSH-NWA-13,a50_BNOS-GOM-11,a50_BNOS-NWA-07,a50_BNOS-NWA-11,a50_BTIP-GOM-05,a50_BTIP-GOM-12,a50_BTIP-NWA-06,a50_COP-SWA-03,a50_DUS-NWA-06,a50_DUS-NWA-11,a50_FTH-GOM-03,a50_FTH-NWA-07,a50_GRE-SWP-06,a50_NER-I-02,a50_OCW-WCP-12,a50_SAN-NWA-06,a50_SAN-NWA-11,a50_SPIN-WP-05,a50_SPT-SWP-13,a50_WTIP-SWP-06,Sx__0,Sx__1,Sx__2,Sx__3,Sx__4,Sx__5,Sx__6,Sx__7,Sx__8,Sx__9,Sx__10,Sx__11,Sx__12,Sx__13,Sx__14,Sx__15,Sx__16,Sx__17,Sx__18,Sx__19,Sx__20,Sx__21,Sx__22,Lmax-S,Depth-S,K-S,Interbirth_interval-S,Amax-S,Litter-S,Offspring_size-S,Trophic-S,Ga50,a50_sigma,GS,S_sigma,mu_a50__0,mu_a50__1,mu_a50__2,mu_a50__3,mu_a50__4,mu_a50__5,mu_a50__6,mu_a50__7,mu_a50__8,mu_a50__9,mu_a50__10,mu_a50__11,mu_a50__12,mu_a50__13,mu_a50__14,mu_a50__15,mu_a50__16,mu_a50__17,mu_a50__18,mu_a50__19,mu_a50__20,mu_a50__21,mu_a50__22,S_ABTP-SWP-13,S_ATSH-GOM-03,S_ATSH-NWA-07,S_ATSH-NWA-13,S_BNOS-GOM-11,S_BNOS-NWA-07,S_BNOS-NWA-11,S_BTIP-GOM-05,S_BTIP-GOM-12,S_BTIP-NWA-06,S_COP-SWA-03,S_DUS-NWA-06,S_DUS-NWA-11,S_FTH-GOM-03,S_FTH-NWA-07,S_GRE-SWP-06,S_NER-I-02,S_OCW-WCP-12,S_SAN-NWA-06,S_SAN-NWA-11,S_SPIN-WP-05,S_SPT-SWP-13,S_WTIP-SWP-06,S2
928,6.029577077979368,1.6074394238196128,2.303442763480253,1.3419464376753745,4.5048614288754445,5.010344422581299,4.507953700025066,5.886348987833976,10.166811621640877,6.363416217323203,21.87977668497417,19.842540102369192,19.919585220593873,3.92805050348678,5.191878742871673,10.998467240509079,6.771496223119382,4.312282517028727,18.576723736432033,13.122060474340635,7.734735717180579,2.2291322124749415,8.003881326921208,2.467555720880413,2.130918629652998,1.1648459345221267,3.14327669266806,2.752407161725821,3.7327844941057493,3.6639826539248537,2.5899709750703352,1.6308911920557194,2.8410755394575102,3.1648199444548024,3.0266118240256894,3.3420765124776506,1.7531892601374102,0.8689589759911639,2.5346587408999692,1.3813485186871761,2.251419233875497,2.0644031763521427,2.2502627853404418,2.705027176591147,2.246421338348997,2.137394620116994,-1.4565152102988383,0.536431610128779,2.2108354684967186,-0.813651703844773,0.41147245989429476,0.9533656276838612,-0.989281628688047,-2.3150151216505273,7.881224067653663,5.782916212656038,2.41539849016139,0.6455596688566175,6.029577077979368,1.6074394238196128,2.303442763480253,1.3419464376753745,4.5048614288754445,5.010344422581299,4.507953700025066,5.886348987833976,10.166811621640877,6.363416217323203,21.87977668497417,19.842540102369192,19.919585220593873,3.92805050348678,5.191878742871673,10.998467240509079,6.771496223119382,4.312282517028727,18.576723736432033,13.122060474340635,7.734735717180579,2.2291322124749415,8.003881326921208,2.042862174101772,6.710207706444853,2.6753803973544397,4.653811155500373,3.0203073822063855,3.1261390198864065,3.0573371797055113,1.3434898409843203,0.38441005796970473,1.676471437856126,1.1948188490973646,0.6643791219453459,0.9798438103973071,2.4441350885063446,1.5599047625912765,6.253519940136016,2.0517045613924254,2.283444372906559,0.48504083767610706,0.6709004466644057,2.676446950681231,4.699654422358298,1.1900915850000908,0.008180027714572963
929,6.029871454058041,1.6179978958270975,2.2884542359346765,1.3517076745729306,4.508769493547055,5.007145956816848,4.5032803425820305,5.86533612578588,10.078701035131637,6.357142715535741,21.846881330336164,19.832227599430144,19.91716988692928,3.920967612559915,5.199521709600377,10.999135059693552,6.764566897011063,4.296439817144682,18.556086830735378,13.143018019735075,7.735952438133213,2.2032142266404575,8.016530570322868,2.1950284656021046,2.324703900326512,1.3593955597418372,3.2341878336228387,2.6982876574386037,3.782539699335289,3.7335266397879745,2.5969742158522617,1.7408825547432476,2.915760183351859,2.3021735995338037,2.6439553460660346,2.9444834713038994,2.1578783662668264,1.3461074462546032,2.6420996615155694,1.6687663800503754,2.5234558417061255,2.124771479480428,2.3022219072591183,2.4152311862143336,2.157286086886914,1.9313791049953895,-0.854922397998184,0.39167814481852514,2.4848488721596325,-1.2811407565107376,1.2535718569299543,1.0194562210674687,-0.43551444829661756,-2.232665460282285,8.319990568652422,5.50943969917222,2.4165721417772947,0.616795308438889,6.029871454058041,1.6179978958270975,2.2884542359346765,1.3517076745729306,4.508769493547055,5.007145956816848,4.5032803425820305,5.86533612578588,10.078701035131637,6.357142715535741,21.846881330336164,19.832227599430144,19.91716988692928,3.920967612559915,5.199521709600377,10.999135059693552,6.764566897011063,4.296439817144682,18.556086830735378,13.143018019735075,7.735952438133213,2.2032142266404575,8.016530570322868,2.1056677422830314,7.113480404034557,2.5572462104542364,4.432038484335239,2.9841288345219663,3.0854430169112868,3.0364299573639717,1.2444730681389289,0.38838140702991486,1.6552839984746575,1.1856030428198123,0.6595514837398299,0.9600796089776948,2.3521111580892864,1.5403401911313672,5.872630549729475,2.08496369713781,2.266104883299107,0.48433025156749476,0.6617806793461849,2.6903064399815313,5.188035390799995,1.1926860871685592,0.008654929409473709
930,6.025916051491863,1.584657573175509,2.276886699771493,1.3295739415408572,4.5161327828119076,4.984436698596468,4.522153505722282,5.909690945996177,10.176962671923249,6.358666486644306,21.897549965688007,19.85784747456153,19.965571345327003,3.927304729937458,5.165784421304805,10.998832380495825,6.769572574391872,4.310980127474311,18.638781584633943,13.090637931866388,7.707144277731979,2.2078074955603015,7.978544649702881,2.2628968361367687,1.6552408972369694,1.3695183807695974,3.0482303506794426,2.1246163545956973,3.2738014859547806,3.1792204907965522,2.4572417875767503,1.5126028658519057,2.627595058444687,2.8443243927653996,2.650900307953423,2.984047742835641,2.4038965825425684,1.5615208551896784,2.839708433291322,1.918747568637471,3.606084720741692,1.5061132122917,1.6714831818205154,2.582648173274552,2.212541302078885,1.7210531087702177,-1.3596525792946328,0.10698443845741311,2.763100030131653,-1.2239803842908494,1.9846242125605214,0.3362186998053809,-0.36931186865003307,-1.5794910496811563,9.150333989583736,6.3899366690681605,2.391293323921117,0.6713010670080323,6.025916051491863,1.584657573175509,2.276886699771493,1.3295739415408572,4.5161327828119076,4.984436698596468,4.522153505722282,5.909690945996177,10.176962671923249,6.358666486644306,21.897549965688007,19.85784747456153,19.965571345327003,3.927304729937458,5.165784421304805,10.998832380495825,6.769572574391872,4.310980127474311,18.638781584633943,13.090637931866388,7.707144277731979,2.2078074955603015,7.978544649702881,2.038059431682037,6.641224204034687,2.6625589115007715,4.341270881410617,3.0369499113168708,3.0931286793304644,2.998547684172236,1.3312764092778004,0.3866374875529561,1.6039595161507672,1.161071590091509,0.6657172383279025,0.9988646732101206,2.4125507802391817,1.5701750006836583,4.56350518052327,2.2047590353790882,2.2030049063420956,0.4788961388630044,0.6442661083918195,2.5482246299956137,5.2253471564772696,1.2040385352824696,0.008164307625160613
931,6.026427725346673,1.5861735651600244,2.277700175869906,1.332035207682495,4.5161979939601595,4.984683285065064,4.521913069143273,5.906467269974721,10.176775675837188,6.358239770268945,21.897619772487303,19.85851365540771,19.965954002995367,3.926919565306114,5.166916602527788,10.998971901847156,6.76950508114008,4.3110703142658116,18.63919060864137,13.089475077573516,7.707478588383157,2.207302749574539,7.979659415685265,2.259900611221695,1.696765311382762,1.3594767796329665,3.0254370315594565,2.096634060650611,3.282641529982728,3.1623805700268606,2.4600373772112683,1.5140646279730363,2.6373760063240397,2.8005434668563773,2.6612286549151003,2.9942485953050535,2.409249411996789,1.572768016341845,2.821130432264845,1.9223375852313462,3.5930891493681543,1.4893759942567633,1.6710592127386412,2.5761312649661536,2.291291727823882,1.7268894424010488,-1.3409444069290781,0.1321987533086861,2.780111398893395,-1.2419763953379508,1.9791195489028743,0.33994686218896886,-0.3670930888019421,-1.5567556000057232,9.117429352112035,6.415984105081858,2.391588958050908,0.66912491237029,6.026427725346673,1.5861735651600244,2.277700175869906,1.332035207682495,4.5161979939601595,4.984683285065064,4.521913069143273,5.906467269974721,10.176775675837188,6.358239770268945,21.897619772487303,19.85851365540771,19.965954002995367,3.926919565306114,5.166916602527788,10.998971901847156,6.76950508114008,4.3110703142658116,18.63919060864137,13.089475077573516,7.707478588383157,2.207302749574539,7.979659415685265,2.02785950296551,6.727783642209758,2.6689576116292013,4.334917863555693,3.000086157531589,3.0863580339923073,2.9660970740364396,1.3316024789684096,0.38562972973017795,1.611900950440171,1.1435001106681684,0.6635293996724096,0.9965493400623628,2.3917834521243377,1.5553020039453682,4.576945267517443,2.2204165638987394,2.1794091367438333,0.4795557168381843,0.6612389353200623,2.527675825984668,5.301432507379116,1.1855255552174664,0.008134199521964721
932,6.006966062699897,1.6336736107469996,2.296034421974845,1.3319729344888473,4.500779084380172,5.020728949269867,4.507794162707204,5.827823797154392,10.03066840615016,6.34808748304943,21.865305280883703,19.890087960687723,19.969323521417742,3.9113734475455666,5.216234991379528,10.9968091144508,6.768358163700839,4.295182210922609,18.579067863694917,13.146362974404637,7.745138839001004,2.19472979490684,8.031225867537634,1.6396381438897294,3.4048542794540784,1.6929376942052898,3.184955543494803,2.7425872390085027,3.6235273539172077,3.4109102944471057,2.8742114042274403,1.927698676064874,3.078910703233167,2.2702722723144793,2.213651723804821,2.5494273935565674,2.462578030164839,1.6138263647431945,3.0060106520369554,2.186662148780241,2.8025274400286606,1.3846279343136147,1.5648308264860853,2.2636143878236235,2.4625317783376737,1.1964107569315323,-1.4128209100702027,0.2577106023716122,1.827139005617647,-1.4635964184679962,1.996463346725846,0.7219683933577783,-0.5096365857432076,-2.2664179878932122,7.705843255144069,9.462500885187378,2.4538402811360904,0.6741185620448327,6.006966062699897,1.6336736107469996,2.296034421974845,1.3319729344888473,4.500779084380172,5.020728949269867,4.507794162707204,5.827823797154392,10.03066840615016,6.34808748304943,21.865305280883703,19.890087960687723,19.969323521417742,3.9113734475455666,5.216234991379528,10.9968091144508,6.768358163700839,4.295182210922609,18.579067863694917,13.146362974404637,7.745138839001004,2.19472979490684,8.031225867537634,1.9690654330705737,7.049718156052149,2.8614320723648943,4.3534499216544065,3.0595312790403772,3.217705465072565,3.0050884056024625,1.331374006071536,0.3848612779089696,1.6037403575778337,1.1794625279813054,0.6635732751295413,0.9993489448812878,2.3917151494893174,1.5429634495479423,5.34105193832915,2.040353383361596,2.205775519019336,0.4867096011122729,0.6669124932847434,2.6288362111972283,5.350161952253314,1.224372221261675,0.008523108919172294
