,a50mu,a505,a5025,a5075,a5095,species_full
0,24.66208434549157,18.927347906637717,22.224872637460553,27.08868600293453,31.01213840276609,Galeocerdo cuvier
0,19.786830972894684,16.181871150914002,18.350673601392195,21.23702253802268,23.311675980006196,Carcharhinus obscurus
0,14.130493351816147,8.99340910807542,12.074318899573521,16.06558565869197,19.50992011304395,Carcharhinus albimarginatus
0,15.901783658405023,12.445010248036787,14.512567018872023,17.388576539891087,19.72444296774968,Carcharhinus falciformis
0,11.71934794796513,9.878590095454356,10.955372093445042,12.501765156886329,13.609874193505963,Carcharhinus amboinensis
0,18.123543262120563,14.328511233338617,16.509424155070732,19.691807856260233,22.182244712047854,Carcharhinus brachyurus
0,13.6375574004162,11.198771651235296,12.601603540914363,14.562278475133411,16.0791995751918,Carcharhinus plumbeus
0,12.34628270123886,10.426084642473494,11.613303856731896,13.177011989728836,14.336692598942655,Carcharhinus leucas
0,11.070785037381189,8.293121763769967,9.877856494546297,12.15623263807393,13.647015460560576,Carcharhinus brevipinna
0,9.912427048082748,6.50805844052738,8.56461265785656,11.333225291875628,13.19096709932985,Triaenodon obesus
0,10.723045467768085,7.238674182564379,9.255007442080963,12.000286695569756,13.78447431496176,Negaprion brevirostris
0,0.8636451912639387,-4.612842301094474,-1.436439276554081,3.21894286766999,6.553645928348619,Carcharhinus porosus
0,4.002533288630076,-0.5068488081690453,2.1617882301065867,5.922551039539206,8.625373114807488,Isogomphodon oxyrhynchus
0,6.1225037137510085,3.5228612435585025,5.100974294786285,7.060922697260544,8.538053323184856,Carcharhinus acronotus
0,14.563556260666251,7.47076983015523,11.725914872058041,17.373402704543736,21.93057407665158,Prionace glauca
0,14.019081274952008,9.501393852630315,12.095296991532996,15.887295489056442,18.901143300244623,Carcharhinus signatus
0,7.185068955854627,3.9393099469935033,5.9426545544241485,8.274111355950026,10.219844324541793,Carcharhinus cautus
0,7.864135698595341,6.385827208236213,7.25333734406324,8.53825978547983,9.538402789201458,Carcharhinus limbatus
0,11.803713259201679,8.860615785307683,10.621459396344168,13.054290270492192,15.029866261580732,Carcharhinus galapagensis
0,11.957624495096534,5.876190789997156,9.50784368890134,14.44122160303935,18.43682618888205,Carcharhinus amblyrhynchos
0,3.724070693907538,1.2151015994888192,2.750138320734737,4.766754051057856,6.267384224901937,Carcharhinus melanopterus
0,10.173308298669909,7.318856705417884,8.997220778542674,11.387422500968716,13.205618514366346,Carcharhinus longimanus
0,5.422855747171964,2.8961716359326997,4.304783850298552,6.516775066468445,8.295466061130872,Carcharhinus tilstoni
0,2.6728033455574938,0.37377049124229234,1.7351121903080928,3.6642779635751697,5.196705283154673,Carcharhinus sorrah
0,2.941233935721879,-0.35856809281536783,1.6807092615224462,4.275118217186978,6.29078189161341,Rhizoprionodon terraenovae
0,-2.3563346968858783,-8.459803917639135,-4.822229314015084,0.05743170219404702,3.7185050588003348,Carcharhinus isodon
0,2.847211428514651,-0.8209130910936959,1.4981190336057784,4.393658192557639,6.720823631772941,Rhizoprionodon longurio
0,1.0888141213485958,-3.2152917681269,-0.6919435999286244,2.75850037905315,5.443522634862787,Rhizoprionodon taylori
0,10.632631458232215,8.634500892183922,9.83640248490542,11.485811130613339,12.710976706489445,Grand Total
