,a50___0,a50___1,a50___2,a50___3,a50___4,a50___5,a50___6,a50___7,a50___8,a50___9,a50___10,a50___11,a50___12,a50___13,a50___14,a50___15,a50___16,a50___17,a50___18,a50___19,a50___20,a50___21,Lmax,Depth,Interbirth_interval,Amax,Litter,Offspring_size,Trophic,Temperature,S___0,S___1,S___2,S___3,S___4,S___5,S___6,S___7,S___8,S___9,S___10,S___11,S___12,S___13,S___14,S___15,S___16,S___17,S___18,S___19,S___20,S___21,Depth-S,K-S,Amax-S,Trophic-S,Temperature-S,Ga50,a50_sigma,GS,S_sigma,mu_a50__0,mu_a50__1,mu_a50__2,mu_a50__3,mu_a50__4,mu_a50__5,mu_a50__6,mu_a50__7,mu_a50__8,mu_a50__9,mu_a50__10,mu_a50__11,mu_a50__12,mu_a50__13,mu_a50__14,mu_a50__15,mu_a50__16,mu_a50__17,mu_a50__18,mu_a50__19,mu_a50__20,mu_a50__21,mu_S__0,mu_S__1,mu_S__2,mu_S__3,mu_S__4,mu_S__5,mu_S__6,mu_S__7,mu_S__8,mu_S__9,mu_S__10,mu_S__11,mu_S__12,mu_S__13,mu_S__14,mu_S__15,mu_S__16,mu_S__17,mu_S__18,mu_S__19,mu_S__20,mu_S__21,S2
1952,8.950291355497233,7.701113160287002,8.778676402412637,7.845156747143772,6.3284035112029775,6.841781121368418,6.336634055920018,5.5319522564061865,9.792297576118525,6.036293651436415,9.88507897871393,9.513637439313118,9.645819869484603,10.569218363752634,11.8141765663414,8.868675280997923,5.134623675065829,12.153894328937561,6.627303545840054,4.897349734686382,8.204788926981099,7.769359582928499,2.4551336311772194,1.4401185065764095,0.4654999904129668,5.2705501034544024,0.22511048004220238,3.3851926030940005,2.8862077560083095,0.1737210934519434,2.7880993501961844,1.8046315207972692,0.5798406856154075,2.5386614942685157,2.378632187948648,3.6553972103085712,3.825196510904794,1.753438956836331,0.8129500787422128,1.9288281243867165,2.6580715328968676,2.3533765529364365,2.664120485922769,1.3426089646870345,0.41837947722054997,1.8417418972547923,2.8964903709396337,2.519118775925533,2.7016697304571906,3.551658238213565,2.640329332808753,3.0798440332730963,2.149826954911907,3.3705162052552304,-2.155970862333733,-0.49397574165466146,-1.1833241833810537,6.7051065244028685,2.478439972066028,2.2936890281217965,0.8776471359249011,6.033351993747275,1.693290084047747,2.2695112358147194,1.3359915805458538,4.488241189345515,5.001618799510955,4.496471734062555,5.87322724433147,10.133572564043812,6.377568639361698,21.85608446255413,19.837325014412894,19.969507444584377,3.9378846766021995,5.182842879190965,6.766276003683972,4.292373660581613,18.62767980500345,13.101089021905944,7.717896837194627,2.245323458578808,7.989397801731632,1.9656678341457814,8.564766310415722,2.661254945194878,4.620075753847986,2.970909188840345,2.9270055570090396,3.0968048576052625,1.3320026411133143,0.391513763019196,1.6310359257818485,1.1560199182140765,0.6601144347491845,0.970858367735517,2.468198095476678,1.5439685449342742,2.0315102226026807,2.224754612966974,0.48038469191130606,0.6629356464429642,2.6708570906607565,4.490911054115374,1.2115360557577204,0.007937373273348761
1953,8.966899577562586,7.574665303082506,8.6403561567984,7.717702615488909,6.203900003775379,6.706673711334453,6.195749452321118,5.505475333417123,9.749415069073475,5.973532668037114,9.287913373975774,9.840935468664771,9.966300983202427,10.854812575316565,12.11592059468086,8.455861672833878,5.600050339136673,11.882319535616856,6.368241445178353,5.061923226728822,8.361338040998524,8.127350041978943,2.3368827725060712,1.2235506620012198,0.19498568870984334,5.528553144852086,0.3681465625191142,3.3976997407491534,3.2989084111240348,0.19015888978245798,2.8463931756400993,1.7807710041880214,0.6791126166799432,2.3359860665296646,2.457540640701727,3.7415348509198463,3.7227368403618284,1.7127248062686804,0.8006232351080257,1.960166330782639,2.7760726927115154,2.3721076187751287,2.6908870364898365,1.223589062045921,0.4114324258591954,1.9967529508715547,2.8877827666874256,2.6040135272270466,2.7581308097870783,3.5068235909421177,2.5801077068576888,3.0233040787072962,2.0915658146180505,3.464537926124746,-2.0637341548443584,-0.5784900228888461,-1.1396815735364452,6.783010724020663,2.4613338846982686,2.3454895204320145,0.9300418102947288,6.031496832679391,1.7025492911974123,2.275966992758355,1.3533134514488632,4.499285456278692,5.002059163837766,4.49113490482443,5.892426124601203,10.136365860257552,6.360483459221194,21.843531598263827,19.814360564867258,19.939726079404913,3.922869976952044,5.183977996316339,6.7706456701907225,4.292436405091796,18.60467675896315,13.090598668524647,7.702600523376769,2.2486299473610694,7.998201462786104,2.0081285854332886,8.628853099945836,2.717959647261424,4.374833097111145,3.081957611407377,3.008442656365998,2.98964464580798,1.2916132697099347,0.3795116985492799,1.6661480069579344,1.1518135557833669,0.6597180397108215,0.9784974574255298,2.3847054503248972,1.5725487493027275,2.1755361468675094,2.2419978275233254,0.490427911126166,0.6445451936861977,2.681135675862656,4.557123304010238,1.183452203968654,0.007919228914495974
1954,9.938391810463784,8.168229176935302,9.989621572274732,8.9944536342323,6.074730444136931,6.565272772426004,6.055952638408986,5.818429212183529,10.043109177554863,6.312089961202249,9.845608492499398,8.500530028895595,8.557816407391662,10.57941602400691,11.847408909375726,7.510727765546847,4.433729515562662,11.822888824894715,6.289529044803933,2.7148376533601146,9.363491962074175,9.533455539628193,5.396567959408929,-0.41109840743526377,0.5937422631728897,5.946035062873587,0.3451956421596278,1.2331617571901852,3.451819391149471,0.12335496725360029,2.857329994282186,0.7179561554819353,0.9662591862751796,3.3324168569217183,2.251582167648214,3.3193635434087927,3.3777435939560965,1.391164993033175,0.4744467707640013,1.6433275576116788,2.4740756776234383,2.4405180193909244,2.7469877756513936,1.489700303965027,0.5259239433304063,1.3887267857650887,3.1744431961805293,2.394423104079641,2.5768224772506416,3.327715317427436,3.6374049726232673,3.193250309001387,1.1911311826044295,2.937391061691859,-1.584212472498782,-0.10336812034531705,-0.9051942014558575,8.797194991293638,2.2491169222933025,1.9406999192414272,1.0883537100559229,6.027786311215786,1.5575298595092495,2.2915949352567293,1.2964269972142974,4.5206556461757295,5.011197974464802,4.501877840447784,5.862901675466985,10.087581640838321,6.356562424485706,21.86430948858186,19.880758856442046,19.938045234938112,3.917418085980346,5.185410971349162,6.790131999779545,4.298156129325728,18.606027375698137,13.072667595607355,7.715591629412286,2.1908465820116416,7.986241313657007,2.0452701218459786,6.381324752101453,2.5521420127142798,4.918299683360818,3.083165647249484,2.999989702517319,3.0583697530646226,1.2973218201456984,0.3806035978765245,1.6572397261426333,1.1728028516465139,0.6538934805229285,0.9603632367833977,2.5208158068645337,1.5570393912595075,2.0461565825509327,2.283405393585225,0.4807016089283359,0.6631009820993364,2.6310095602008152,5.118634408867054,1.2399325813447706,0.00909788172394881
1955,12.006495671339296,8.211962098261004,8.041790433302987,7.0300917929324624,4.47388226916348,4.958898312453771,4.463362793478656,6.191713121052708,10.44005903296467,6.674922884225576,10.057983882837787,7.207421516405401,7.345487534848577,7.794027084617753,9.05280314891018,9.266294080197138,8.470404906359684,13.176930365981935,7.6500851718836715,9.492385897173788,11.339361448927802,5.7326414863006345,-4.850561293312184,5.994812424012262,6.761686220481326,1.865266265467093,0.33414669405193476,5.0011129080159185,1.909480939041076,-2.5821605746573937,2.379103685290707,1.5954800407608798,0.6264616379928837,3.0689420768629563,2.508553875384147,3.1948470997852314,3.3411783275870066,1.0761967850159084,0.1322772676793902,1.340746371370166,2.362394493489417,3.0462655555954066,3.3824772775886216,1.1958499933781832,0.23503440969081824,1.2921341315430388,2.7716021776536817,2.3733047866536676,2.563613766566897,3.920102410080609,4.117078202112515,3.1788718083001317,1.1641587438758678,1.9311028028389108,-2.702917894415559,0.36818466367326874,-0.893859619026313,7.557005139668696,2.113349739442814,2.2168398426227625,0.9817797618654575,6.022903962664195,1.556675342043047,2.300674492720425,1.2889758523499029,4.519550945494082,5.004566988784372,4.509031469809258,5.882388504631356,10.13073441654332,6.3655982678042236,21.857729438007897,19.821686131050793,19.95975214949397,3.9146778500633945,5.173453914355822,6.786241162161625,4.304713848485514,18.633814046588807,13.106968852490542,7.713983650317672,2.2109435251075378,8.01394012265122,2.0306036880894993,6.255789060259896,2.606145560608838,5.048625999478911,3.055446527895572,2.985076148141978,3.1314073759437533,1.3355570352510457,0.3916375179145277,1.6709472544879214,1.133127525878191,0.6645589002253236,1.0007706222185386,2.4568018009756205,1.495986181149552,2.157091115866559,2.2060534871601236,0.48094609582834885,0.6712550757415785,2.7153954505192632,5.026185793238365,1.1831079635088617,0.00819554861309828
1956,11.98128834293439,8.430408314639168,8.270105349118694,7.286830227795824,4.486011685926887,4.978659716118888,4.478509375466554,6.146074036114023,10.400978890187922,6.63376222164874,10.008044722797386,7.056056613482045,7.166527971054997,7.802445516281248,9.05509958226574,9.330065131818143,8.296230953737943,13.292586658188082,7.74015436065326,9.163969706605833,11.292004530536202,5.7477520161260065,-4.580372160546335,5.780497938216732,6.686332609488862,2.0082691411254303,0.31407946513873525,4.9832066258104675,1.8712149959355908,-2.555313078282576,2.38111303962664,1.849274063493877,0.6879674694481726,3.0331937687528088,2.640598756034476,3.3129992849344427,3.342237863576722,1.1227869264832548,0.18224950405787338,1.3741638401985437,2.3314434079772473,2.9903910049058515,3.322562077018181,1.2220306953390736,0.3718231494219584,1.2213260264425547,2.8582849150937246,2.3498677755726662,2.532001892851486,3.746487993912461,4.476824302822729,3.2120031340834285,1.2953285440796078,2.0776654104639483,-2.695818110143558,0.3578806466781874,-0.950000365522479,7.7930499673118145,2.0051124305412986,2.309286620178318,1.0365409295746673,6.046765551117954,1.588083058495969,2.2911716781724953,1.3078965568496246,4.512019640711444,5.004667670903444,4.504517330251111,5.872133740618433,10.127038594692332,6.35982192615315,21.847572517805578,19.831830435981402,19.942301793554357,3.928117016087098,5.18077108207159,6.7783837390178086,4.283693402116411,18.661674321496992,13.109242023962167,7.709383859581999,2.184102898359903,7.972377085496728,1.9598344915187174,6.764024432477869,2.7186445337754255,5.063870833080062,3.199531049281925,3.0578403783772887,3.087078957019568,1.321680746012407,0.38114332358702563,1.6492747996848314,1.1421571109177617,0.6557079846885601,0.9878790568008893,2.4417679934667893,1.5915604086681951,2.067806374636031,2.224592374214809,0.4813871497268306,0.6635212670056503,2.522159387709307,5.414593210587124,1.1655750288111104,0.008139399077424737
1957,12.190628307606893,8.308656733402556,8.200413656437357,7.221002517071322,4.669431250529748,5.183532300576051,4.683346725669947,6.306378959074415,10.587267828245995,6.814514478021766,9.38443031787449,7.007908030336542,7.177669358787204,7.701921592524228,8.937989677812489,9.068445831929047,7.820733494430684,13.304196356593726,7.799091362523284,9.093830307519822,11.432652797799442,6.061230732506616,-4.350222359896429,5.929178068429895,6.809261826099052,1.5790427718023916,0.8925853622564703,4.637292767006383,1.679736857846252,-2.594328709476694,2.4720002663335063,2.362351045263472,0.7436662861291136,3.179955906453074,2.704117366559109,3.189856517900785,3.3558976055522165,1.0669115185679003,0.19101953339618905,1.3757196381579224,2.4362201316075778,2.9262530524570605,3.232566904445333,1.2416495512413688,0.42613043073611473,1.3314414565415895,2.838664091131409,2.2728247663871266,2.443067873650856,3.964701865684428,4.453322046331291,3.1092984089689506,1.2121878600053106,1.9938797295263961,-2.5321764023214968,0.3048061350017593,-0.8526522897868225,7.765063850013321,1.9327499772808394,2.1702264158654647,1.0305703576106342,6.037567484955124,1.6240576287791737,2.2775909612327863,1.2981798218667522,4.499395009379819,5.013496059426122,4.513310484520018,5.856701686219932,10.137590555391515,6.364837205167283,21.868511388927303,19.782055850058487,19.951817178509152,3.9245849282073326,5.160653013495592,6.777991881901176,4.304362982362356,18.583099796966565,13.077994802896121,7.727448714661431,2.193590822442391,7.980434359907196,2.069973154945954,7.051715426213277,2.6652629256218474,5.101552545945808,3.2277262664293898,2.932203943665976,3.0982450313174072,1.266319766322393,0.3904277811506817,1.6482714294481735,1.2301371895528255,0.6825789360708424,0.9888927880591155,2.4038438734222725,1.5883247156035067,2.134350407578405,2.275751356013719,0.4916494702787341,0.6618925775424638,2.798337345062166,5.404004187854199,1.2061751453972414,0.008163669433021763
1958,12.127520790743189,8.366329033181657,8.114583520638615,7.130058745513704,4.569545432390141,5.085114959491018,4.608423364603314,6.088136428552022,10.292957048822002,6.582439323398147,9.398396764243902,7.05535052473637,7.143093240213036,7.709342833039635,8.97210657909101,9.297465847482771,8.286468495400754,13.308669903528013,7.798652284849746,9.55042212151957,11.626785723166632,5.922609438919051,-4.83263427236593,6.285869748268168,6.960431796695652,1.3368385763701933,0.5489466812849475,5.208334060281146,1.9629876157209083,-2.750751920847369,2.2120003384772344,2.8007561821679516,0.6014735119101333,3.0642032074385352,2.477306692673005,3.275095772770383,3.2465162883446474,0.9807480388003231,0.08730891565408845,1.2869022164212105,2.5869235704191613,3.0846904691391814,3.395112446797366,1.3031621310805437,0.3277349008365468,1.1704431756237428,2.603330868299242,2.3682605726250348,2.5420076092875283,3.773449055601589,4.310793108849263,2.9828743982931507,1.024331552121427,1.8727525577274138,-2.544744520093626,0.2441844298094434,-0.7011367530954181,7.478839116652207,1.7783705955819786,2.297227096179142,0.9919224880189356,6.029760062232615,1.6420669253630107,2.2799449868132617,1.295420211688351,4.485552415059561,5.001121942160437,4.524430347272734,5.878335366570122,10.083155986840104,6.372638261416247,21.843054563958553,19.865541233308864,19.953283948785533,3.916518264122553,5.17928201017393,6.774921344564249,4.310153718646002,18.595501832173667,13.0854842134954,7.723337008956911,2.1966414587893657,7.998326301132838,1.9052824756400168,7.277158720751252,2.478248780978864,4.940978476507265,2.9792355343180215,3.0432243745023695,3.014644890076634,1.284206232363262,0.3907671092170272,1.659060520732742,1.1443563173075648,0.682005448857486,0.9924274265156701,2.5633500992932525,1.58792283400252,2.001360975979809,2.2072590736735638,0.49181130632674036,0.665558342989234,2.6111111472286046,5.366969625906487,1.1941537583414799,0.008149267476541102
1959,12.12594093329658,8.377949104356036,8.179746310945424,7.189031571784771,4.608366511197962,5.102583472476735,4.646589295029874,6.086235514608338,10.360180045475303,6.580912318307242,9.522667824027677,6.967973629246379,7.075643382542435,7.729244357672921,8.996635830890444,9.323593750364287,8.206968260308336,13.261443412016899,7.751031982091068,9.481772515387311,11.613144894044611,5.8717901969592425,-4.717871109135692,6.251548290182061,6.949188672883919,1.4091756654336796,0.5008489983822414,5.153196119283211,1.94059355097922,-2.6960792203675226,2.1817241040701347,2.6259655016699246,0.6416215000152232,2.8937764601599025,2.4982864501788566,3.29717159952033,3.2683313743319307,1.07251541080541,0.06500857639219228,1.2827046492921823,2.6043932883110434,3.087714966562481,3.4133224251896768,1.2704342505929453,0.32921129250003944,1.2498411868589279,2.64697370353708,2.314761052220493,2.4841940932875275,3.775796611062398,4.313096082002651,2.9851483136618633,1.0825405010908613,1.7767605847090797,-2.6614223349507817,0.2896599437887444,-0.7038617660646755,7.436018668736632,1.721077540941883,2.2883589624310434,0.9790151692799491,6.01892626923853,1.6237388288191341,2.297468812107311,1.3067540729466596,4.493994577004438,4.988211538283211,4.532217360836349,5.865587394132422,10.139531924999385,6.360264197831327,21.848854486127486,19.845450858344233,19.953120611640283,3.902074188973776,5.169465662191298,6.774665187780829,4.305128537206803,18.60856087255796,13.098149442632128,7.726118937765809,2.2066938271658314,7.9944675244446834,1.9098849058400929,7.026809450692734,2.576087684207514,4.828242644352193,2.94692659018335,3.0496240141641993,3.0207837889758,1.3891677381531355,0.3816609037399178,1.6645357149839488,1.1958138783650094,0.6597391770074201,0.9853466356346157,2.5191622203550867,1.577939229011841,2.0794756632244678,2.2863557015420026,0.4900050437776126,0.6594380848446475,2.541943821427541,5.301427717104534,1.2116222846355535,0.008160540017431021
1960,12.133800076220446,8.341186974876102,8.168147581304675,7.186653035157756,4.606480403106882,5.1057424114323435,4.626650162540992,6.075874258024904,10.374385872248716,6.612801046260506,9.574733342803603,6.946941522271774,7.1060574867461925,7.7586528245144235,9.023271192306668,9.318369583884214,8.218112248099512,13.267207527074216,7.755575110705545,9.48267762835361,11.617803550005522,5.8556385691452695,-4.720288798349249,6.2664363865123764,6.965700941182489,1.40556420633995,0.48929955031809963,5.140105701854519,1.9440476979763126,-2.692567689592576,2.176602965190389,2.667284407020132,0.6439248790289009,2.9102098883595495,2.493962218037327,3.294323066072204,3.269270802371625,1.0621380366510509,0.07194751191362878,1.2775340204776846,2.610636070578539,3.0853089904657027,3.420180072105203,1.2716183192906054,0.3263344768316528,1.2491445079321923,2.631509118139817,2.306671360491334,2.4756917168395747,3.7693698696631954,4.339583824008861,2.9900975023825374,1.0679593578724487,1.7837172099826446,-2.630883541756719,0.2850109312586273,-0.6928885726435844,7.430510159983476,1.7191634966109466,2.294205256780106,0.9749911376338621,6.011087015156627,1.5953736756420769,2.295870727518457,1.314376181371541,4.49249402072099,4.991756029046453,4.512663780155101,5.849683796197019,10.148195410420831,6.3866105844326215,21.869297883652496,19.831012641662863,19.99012860613728,3.9277141274030436,5.192332495195287,6.775197378453294,4.311563618092584,18.63597385832188,13.1243414419532,7.709362893669496,2.2020207526356605,7.989705489245087,1.898091892763944,7.062500596950298,2.563106591772005,4.829391601102653,2.947150948022902,3.04859825768269,3.0235459939821108,1.3787819086576918,0.3885913839202696,1.6596118278776288,1.198670418388679,0.6658917779451647,1.000762859584665,2.512316367394621,1.5670324915551432,2.0809543873467193,2.2683574131934994,0.4885006412148418,0.6575209975630824,2.5449514272859277,5.334839530216388,1.2241743094307835,0.008162234622198143
1961,12.60290322654037,6.931828206747106,8.227744590811607,7.265861240280743,5.940329156573861,6.4178047242315435,5.925156550751625,7.133634861293621,11.378908696943503,7.655901888828041,9.277766468306272,8.687793626237175,8.799427173715404,8.010476748245141,9.287229725819245,6.104419153217497,3.5573123106804667,12.962541885226623,7.451080668168248,5.993627338977215,10.59410643066245,8.866600613535223,1.518808697642079,3.0027747351511445,4.9735662895921475,1.6803438434539968,3.201840931033771,-0.02625233619891523,1.2398243605733368,-0.8843555654338797,2.4358596732773976,2.1715643469298995,0.8522920210139174,2.894690420720369,2.975169745132605,3.67617704628636,3.8081543843712353,1.1815044559819925,0.2621783231844804,1.428778021040384,2.732111457226954,2.6472585052120845,2.957754360522285,1.734273769148229,0.9267231438918785,1.4793622164603344,2.4155973464902765,1.511177119072634,1.681504965420267,3.930522454881428,3.8005021000464465,2.269742089686219,1.442852147351348,1.9522634217952308,-1.9924761896650578,0.014671390311072978,-0.1992327281489958,9.133560682313323,2.6293067063392854,2.272631394035378,1.161412272981027,6.001151359786563,1.5974111733941407,2.2830916479223786,1.3212082973915142,4.522403096105225,4.999878663762908,4.507230490282988,5.859814149804381,10.10508798545426,6.382081177338802,21.873530440407087,19.843491979545206,19.955125527023437,3.9111113784667255,5.187864356040829,6.769779818575609,4.318568792953226,18.614212587290204,13.102751370231832,7.718399064748111,2.207267139388092,7.990994789879442,1.9183487864565922,6.70485489543781,2.6755837457939284,4.71798214550038,3.103838683430706,3.039891019564843,3.1718683576497186,1.310903347916895,0.3915772151193831,1.62979380263556,1.1747887111807236,0.6598287501681857,0.9703246054783865,2.3796791305369474,1.5721284687458934,2.0750013294240244,2.3221733306264105,0.4859765404369152,0.6563043867845479,2.5546618243990076,5.068632741691044,1.1887561470197765,0.008199880804119477
