,a50x__0,a50x__1,a50x__2,a50x__3,a50x__4,a50x__5,a50x__6,a50x__7,a50x__8,a50x__9,a50x__10,a50x__11,a50x__12,a50x__13,a50x__14,a50x__15,a50x__16,a50x__17,a50x__18,a50x__19,a50x__20,a50x__21,a50x__22,Lmax,Depth,Interbirth_interval,Amax,Litter,Offspring_size,Trophic,Sx__0,Sx__1,Sx__2,Sx__3,Sx__4,Sx__5,Sx__6,Sx__7,Sx__8,Sx__9,Sx__10,Sx__11,Sx__12,Sx__13,Sx__14,Sx__15,Sx__16,Sx__17,Sx__18,Sx__19,Sx__20,Sx__21,Sx__22,K-S,Amax-S,Trophic-S,Ga50,a50_sigma,GS,S_sigma,mu_a50__0,mu_a50__1,mu_a50__2,mu_a50__3,mu_a50__4,mu_a50__5,mu_a50__6,mu_a50__7,mu_a50__8,mu_a50__9,mu_a50__10,mu_a50__11,mu_a50__12,mu_a50__13,mu_a50__14,mu_a50__15,mu_a50__16,mu_a50__17,mu_a50__18,mu_a50__19,mu_a50__20,mu_a50__21,mu_a50__22,mu_S__0,mu_S__1,mu_S__2,mu_S__3,mu_S__4,mu_S__5,mu_S__6,mu_S__7,mu_S__8,mu_S__9,mu_S__10,mu_S__11,mu_S__12,mu_S__13,mu_S__14,mu_S__15,mu_S__16,mu_S__17,mu_S__18,mu_S__19,mu_S__20,mu_S__21,mu_S__22,S2
0,8.51980966,5.908224868,7.496391978,6.538182259,7.871072373,8.399234855,7.876352835,5.545393542,9.795276015,6.01410381,5.876090574,11.7564647,11.83633445,10.63900647,11.89866966,7.293545946,8.974914499,3.405818982,13.12759803,7.5921371,5.713092427,8.111332044,9.880990614,3.025727937,3.894294824,-0.65853274,2.112813226,2.737189848,3.385853287,3.178404029,2.67900207,3.139429217,2.406933495,3.880234999,2.5715256,3.399134049,3.321472121,1.307091412,0.396628272,1.607224605,2.796275446,1.808975531,2.132619353,1.896933846,0.892387294,3.785484667,1.795379417,2.518943535,1.9612053,2.138351775,2.733239266,3.10117282,1.931175218,2.036142483,-0.00571341,-0.623963433,9.213965877,2.902377959,2.388828473,0.797534851,6.01936016,1.585555329,2.296536825,1.338327106,4.491113971,5.019276453,4.496394434,5.885702567,10.13558504,6.354412836,21.85987115,19.85071165,19.9305814,3.920941047,5.180604231,10.99194151,6.766097152,4.294749063,18.61485562,13.07939469,7.720652654,2.226503528,8.010869267,2.091655056,6.340864543,2.754937115,4.228238619,3.168102415,3.190268909,3.112606981,1.287609604,0.377146463,1.663150174,1.172468813,0.659193712,0.982837534,2.553678354,1.549131763,5.097581019,2.092628728,2.211677613,0.491263412,0.668409887,2.699786534,4.659563462,1.148018595,0.008367668
1,9.121761791,5.669735308,7.41308782,6.446954992,7.879312732,8.391990342,7.847920398,5.881148105,10.10950747,6.372791954,6.547703426,11.46846836,11.56616409,10.54113173,11.80379642,7.063314799,8.510549113,3.136866473,12.80571755,7.262483586,5.602218195,8.509515773,10.08274584,3.601121772,3.937329694,-0.209594671,1.931475656,2.759966997,2.415043214,3.124445527,2.582921729,3.189272352,2.263806716,3.98345702,2.440331418,3.203087259,3.383670808,1.392683479,0.463106756,1.628885757,2.828580864,1.744067161,2.045912259,1.73264563,0.904522661,3.719362335,1.814244167,2.616296471,2.009937785,2.147727905,2.582457521,2.838134684,1.888467903,2.129140694,0.119073012,-0.741639031,9.094586949,2.735414631,2.520521383,0.963928168,6.02442222,1.561702393,2.310759377,1.344626548,4.502724595,5.015402205,4.471332261,5.858164064,10.08652343,6.349807913,21.86337941,19.82393789,19.92163362,3.918629566,5.181294251,11.00224913,6.762577365,4.310638175,18.64987822,13.10664426,7.711094721,2.24232185,8.015142813,1.97251456,6.455578808,2.546354612,4.266004916,3.049694184,2.970220536,3.150804084,1.317762372,0.388185649,1.632816163,1.153999108,0.6777448,0.979589897,2.390807734,1.562684724,5.122165878,2.031797594,2.319249706,0.496922886,0.634713007,2.638398784,4.493891722,1.151678918,0.008398812
2,9.959120852,5.91822182,7.35125849,6.386736336,8.226151787,8.731708802,8.246163138,6.285786701,10.51053875,6.786268367,4.136006931,11.3181544,11.37142312,11.36210922,12.61762827,3.463507094,8.892587285,3.857788611,12.03840393,6.488844783,7.150413978,9.188802461,9.657660626,1.722044727,5.867391378,0.417168469,1.959939499,3.866580464,3.135941004,3.038513444,2.665757522,2.771898017,2.041326959,3.977645163,2.291166202,3.330076394,3.192271199,1.269710549,0.308545069,1.533263502,3.102879118,2.205211118,2.529890786,1.722477407,0.756761982,4.414489835,1.550872418,2.656514574,2.212571987,2.379750483,2.790953398,3.321353284,2.220838424,2.300884567,-0.242164255,-0.569950282,8.614930687,2.711017906,2.206332089,0.922785459,6.0198766,1.599744808,2.303007318,1.338485164,4.491443069,4.997000084,4.51145442,5.857038026,10.08179007,6.357519692,21.8235861,19.87874459,19.93201331,3.911926779,5.167445826,11.0062932,6.776269319,4.302935915,18.62388665,13.0743275,7.712214982,2.201462908,7.976819413,2.007180953,6.535366044,2.580356111,4.516674316,2.986421454,3.115165005,2.97735981,1.34295505,0.38178957,1.691719953,1.197903425,0.654793862,0.979473529,2.534961735,1.569246267,5.868379491,2.036634033,2.285719152,0.481609626,0.648788121,2.598248099,5.056555242,1.198924539,0.00802337
3,9.521027582,5.159906319,6.115612366,5.173912617,7.872682306,8.364482087,7.867755876,7.282696402,11.52219737,7.790289266,4.057847583,13.4267229,13.48799119,10.51131382,11.77035991,0.807392237,8.998630198,4.538408414,13.32552356,7.788674466,8.607751346,7.425437607,8.584526755,-1.661089048,6.35310302,0.443792326,2.350241601,5.477281901,3.235951047,1.014193887,2.495633549,2.848087254,2.05721946,3.891793508,2.445426299,3.303157219,3.377726533,1.244219471,0.308749817,1.519435825,3.174430304,2.200850448,2.547063427,1.616517668,0.592688549,2.602395274,1.845991534,2.321404874,2.32319189,2.483257378,2.763832927,2.882356204,2.019825954,2.051094914,-0.414096641,-0.712878006,8.235109049,2.84111301,2.298189522,0.946890869,6.035848361,1.545053626,2.28534725,1.343647501,4.50624358,4.998043362,4.50131715,5.855790629,10.09529159,6.363383493,21.86488197,19.86389814,19.92516643,3.907267524,5.166313614,11.00816196,6.767706382,4.317723883,18.62447759,13.0876285,7.726865089,2.227945952,7.983138585,2.031135718,6.252481932,2.587228229,4.421802276,3.023528632,3.069902827,3.14447214,1.316526189,0.381056535,1.667703674,1.166577862,0.657470067,1.003683046,2.559223962,1.535394804,4.15650262,2.154262991,2.184974946,0.484249987,0.644315475,2.621046243,4.635080701,1.166634511,0.008574192
4,9.838363833,5.280847027,6.455581422,5.513547044,7.616722889,8.113694585,7.620328072,7.200868671,11.44963919,7.65936569,4.614979142,13.24517512,13.34980677,9.864314935,11.15661305,2.867362448,7.967460069,3.781117599,13.74581715,8.190491843,7.649545122,7.660870467,9.289375765,-0.457286933,5.038900682,0.753430382,2.05514217,5.562750285,2.292713352,1.017297312,2.56140312,2.644955919,2.198412991,3.813351662,2.474177299,3.236270406,3.27510325,1.255290826,0.317896428,1.538504406,3.422113855,2.322881739,2.651399188,1.317987093,0.538119572,3.38318439,1.784934077,2.460784285,2.515492074,2.682286976,2.729636247,2.832866858,2.131326543,2.268953115,-0.425978446,-0.799470592,7.871096664,2.446911067,2.110649235,0.716133702,6.045158272,1.571744329,2.282280419,1.340246041,4.516680938,5.013652635,4.520286122,5.891355642,10.14012616,6.349852661,21.87626982,19.84432066,19.94895231,3.8972709,5.189569014,11.00224498,6.751990841,4.308973442,18.62701712,13.07169182,7.725006929,2.221561675,7.995635167,2.044071716,6.392825185,2.766591831,4.381530502,3.112213452,2.976771122,3.015603967,1.32403275,0.386638353,1.691275717,1.216466212,0.648593064,0.977110513,2.347475771,1.567608207,5.099609449,2.111469557,2.308014858,0.496353179,0.66314808,2.589013372,4.769890511,1.202071837,0.008370167
5,9.702694224,5.92739818,6.930057058,6.002097324,6.55092883,7.042237023,6.543087539,6.613671782,10.8289364,7.060245234,8.14263439,12.82892434,12.93874999,8.801602064,10.01183092,6.110205451,7.750464293,4.201508779,14.23979573,8.769080067,7.00420447,7.424628111,8.623706252,-0.262581562,3.403875827,1.498453163,2.555182938,3.844052953,2.136438444,1.0418909,2.809386188,2.355703309,2.332885788,3.880842285,2.390601629,3.38421225,3.497028487,1.469497773,0.492881996,1.73211544,3.535874484,2.115912768,2.431826526,1.378186302,0.597669257,3.223608548,1.89652034,2.474993168,2.657343974,2.826113645,2.422601809,2.541854078,2.095816262,2.765458736,0.051833592,-1.139956991,8.095708539,2.6986715,2.388500979,0.92335455,6.021467002,1.605598283,2.276818743,1.348859009,4.506463913,4.997772107,4.498622622,5.887481092,10.10274571,6.334054544,21.86769944,19.86485329,19.97467894,3.948145242,5.158374098,10.99885793,6.748863649,4.323605814,18.55735558,13.08663992,7.701193155,2.21806166,8.020476701,2.106295496,6.607692877,2.709386432,4.25734293,3.147317854,3.046989072,3.15980531,1.359657524,0.383041747,1.72469238,1.144713283,0.658285867,0.974199625,2.381578992,1.601061895,5.241950991,2.058911507,2.237180101,0.486211379,0.654981051,2.545528669,4.849601114,1.207050207,0.008515495
6,10.67613312,6.539186132,7.574200813,6.622745014,6.218681366,6.742110631,6.246470295,6.242793259,10.46834551,6.749328521,11.69655328,10.5290469,10.66301695,9.250881349,10.49512157,6.950135114,8.291962998,4.892529232,12.51182381,6.899791416,6.945024734,8.956255853,7.867216274,1.241619612,3.911074441,2.661929869,2.912850856,1.052407708,1.713035674,2.421709704,2.990026708,2.065868712,2.150805908,4.016474413,2.116537558,3.482991432,3.302490733,1.430260219,0.451252989,1.557465411,3.777240636,2.445780851,2.762308499,1.354993977,0.470139305,2.66905775,1.699712651,2.697025448,2.864318283,3.047325506,2.680510169,2.462193631,2.416625629,3.298806892,0.059763791,-1.087659499,7.990094354,2.133012275,2.581721989,0.975082658,6.015402327,1.615593657,2.297722267,1.346266468,4.480713283,5.004142548,4.508502212,5.888059158,10.11361141,6.394594421,21.83539738,19.80637655,19.9403466,3.912109398,5.156349618,10.99548981,6.773172341,4.310846259,18.66453682,13.05250442,7.723519085,2.233094712,7.96100339,2.050756305,7.201373884,2.663392862,4.529061366,3.069945587,3.1314822,2.9509815,1.362267365,0.383260135,1.611641992,1.137692798,0.662357944,0.978885592,2.417001644,1.53214691,4.836218218,2.108124837,2.23110348,0.475604995,0.658612219,2.690270007,5.021120373,1.208104203,0.008559659
7,10.5830569,6.390570013,7.395513665,6.435118058,6.315529112,6.819069809,6.34238149,6.288644992,10.54799171,6.768181702,12.52458963,10.68133247,10.76724438,9.141675617,10.42376168,6.236120965,8.629846673,4.883777635,12.51259097,7.003130666,7.112763136,8.786509958,7.628908502,1.186022195,4.247836207,2.713115589,2.73698637,0.770621688,1.707213073,2.284769052,3.013424355,1.968356327,2.111143441,3.995150381,2.17046421,3.466693146,3.337024477,1.373283823,0.4428757,1.556009722,3.728480983,2.415515786,2.748408644,1.260186518,0.513608564,2.583390135,1.624984534,2.632990864,2.830130318,2.999966495,2.65100247,2.151508279,2.385301845,3.202500785,0.018900066,-1.054180581,7.920263762,1.898563367,2.491129299,1.025769514,6.007903193,1.603867467,2.295158465,1.334762858,4.504981199,5.008521896,4.531833577,5.877907449,10.13725417,6.357444159,21.90166207,19.87146494,19.95737686,3.909225138,5.191311197,10.9962903,6.770333497,4.329227051,18.6092952,13.0998349,7.710212168,2.235114269,7.977327694,2.110116296,6.973376117,2.628207524,4.512214463,3.095678356,3.125086077,2.995417408,1.318333479,0.387925356,1.619662171,1.138064789,0.645723863,0.978616721,2.313219209,1.566641195,4.700852617,2.030041449,2.190666516,0.484138068,0.653974245,2.645123239,4.646242293,1.200579567,0.008559297
8,10.32959819,7.001696591,8.317765219,7.368539221,6.567752814,7.053142612,6.581255894,6.423794907,10.66708748,6.910896272,10.22517441,9.567335115,9.692824424,9.792953787,11.09169213,8.130895482,8.657177718,4.298175311,12.27365139,6.712912,5.536277768,8.812683086,8.051006054,2.267446228,3.320327771,1.903888554,3.836358947,1.322437722,1.718925043,2.210821873,2.772836319,1.694037024,2.152252874,4.092757396,2.285381637,3.460201132,3.382570385,1.283451094,0.378543611,1.540301122,3.472743988,2.310963305,2.628557242,1.601589364,0.544100357,3.954951184,1.706562878,2.522829598,2.538304796,2.721437069,2.757090858,2.937824801,2.280297287,2.709824718,-0.134298929,-0.850750173,8.235516986,1.921723321,2.489038737,1.150920763,6.039843614,1.546799451,2.278286787,1.329060789,4.498544694,4.983934493,4.512047774,5.87945494,10.12274751,6.366556305,21.84285068,19.85117985,19.97666916,3.89922082,5.197959168,10.99639995,6.764841362,4.303608751,18.65980072,13.09906133,7.717191546,2.21508131,7.983146871,2.028449794,6.011720156,2.672412094,4.612916616,3.073338732,3.176226112,3.098595365,1.287383892,0.382476408,1.644590735,1.200811136,0.660348027,0.977941963,2.559940984,1.502451926,5.768105944,2.109490285,2.163692946,0.475212338,0.658344612,2.675810204,5.064409443,1.21491561,0.008392178
9,10.47061406,6.967865241,8.508061012,7.537680325,6.459831968,6.962043174,6.481016298,6.296024114,10.52215595,6.776819561,11.39909008,9.624908233,9.697272262,9.050955094,10.29650652,9.561096424,7.912533085,3.325918971,12.84879253,7.319212323,4.676064309,8.902970928,8.694794014,3.652226858,2.267527741,2.171432092,3.164762411,1.216255574,0.749122014,2.126533749,2.826060467,2.821814822,2.135379466,3.94907864,2.249060966,3.285393124,3.379760998,1.232314591,0.31694807,1.514384062,3.322786628,2.384527071,2.708288163,1.512518188,0.710338542,3.345354178,1.541978661,2.647347873,2.46153005,2.632218326,2.888698638,2.687130781,2.37719226,2.684652891,-0.211476392,-0.67837171,8.436139469,1.657466628,2.419303762,0.828413657,6.012424921,1.609107913,2.298954368,1.328573681,4.504199528,5.006410733,4.525383857,5.882161402,10.10829324,6.36295685,21.87998937,19.89561885,19.96798288,3.937503545,5.183054976,10.99465324,6.76574284,4.304686297,18.64557808,13.11599787,7.740169475,2.230261951,7.992520617,2.045916268,7.175325875,2.726642178,4.540341352,3.059025088,3.033382413,3.127750287,1.295337677,0.379971156,1.676831739,1.142770811,0.646951176,0.970712268,2.425603548,1.623423851,5.026144846,2.085142391,2.203413373,0.483332658,0.654020934,2.696862921,4.69995445,1.211247305,0.008598414
