,smu,s5,s25,s75,s95,species_full
0,1.1576161695069862,0.37716634645032565,0.8598099926020517,1.4608113529456865,1.91552184322253,Carcharhinus albimarginatus
0,0.7952074378675354,-0.5074423220149709,0.2539688357978381,1.3161669319928657,2.1232334386212477,Carcharhinus altimus
0,2.2870108733497734,1.634176840771628,2.0372734195127027,2.525835858965838,2.917339812820953,Carcharhinus amblyrhynchos
0,1.3992837947014611,0.7166146763720186,1.130696946225822,1.6731255139258778,2.08126601154153,Carcharhinus amboinensis
0,0.8571988666958508,0.12886337600452338,0.5755674849211194,1.1523646490838504,1.557495956362256,Carcharhinus falciformis
0,2.507557372630334,1.8192248815446854,2.2187606115385234,2.8127831117877724,3.254287218250668,Carcharhinus fitzroyensis
0,1.5248031918048224,0.7511735152261328,1.2108818747662644,1.841458372721301,2.298197989070426,Carcharhinus galapagensis
0,0.8492318920411179,0.3023852950845338,0.6299931326912899,1.054893730419525,1.4088808949333886,Carcharhinus leucas
0,3.372202173986048,2.8291541650691596,3.1592972351412323,3.6170565907803423,3.9938113998566447,Carcharhinus macloti
0,2.4181940316793553,1.5731296007797155,2.0563280777332356,2.777070505434021,3.257841758334813,Carcharhinus melanopterus
0,0.5978704344810314,-0.3546263347638592,0.19840724474881247,0.9990820094740736,1.6788262730278574,Carcharhinus perezi
0,2.1113800366891597,1.147520395644929,1.7127462777579154,2.542739025967901,3.107647222980587,Carcharhinus porosus
0,0.8070996863964031,-0.25474587060177134,0.361220430668661,1.2562115860848233,1.9213233672758647,Carcharhinus signatus
0,0.8809060934280526,-0.24078933215142265,0.4680012877225891,1.286739030671342,1.8738261497641764,Galeocerdo cuvier
0,1.273456528571658,0.5098341567305438,0.9601951836758417,1.5459891212367334,1.9774107740223674,Isogomphodon oxyrhynchus
0,3.6517608470760714,2.642616332884278,3.2407572996582297,4.043918765382135,4.544034068591235,Loxodon macrorhinus
0,1.0212006067425077,0.18085526394995108,0.6869864630936451,1.393955389166202,1.9317369129893247,Negaprion acutidens
0,0.6366657165191605,-0.09891507814083002,0.33224025783543637,0.9621375062549047,1.4729225036998417,Negaprion brevirostris
0,4.380257682088797,3.5939475980958457,4.0368631728585465,4.759078867872519,5.2614362388054685,Rhizoprionodon acutus
0,5.365968385851792,4.33276298830915,4.939880627517711,5.74538582272192,6.29197781180475,Rhizoprionodon lalandii
0,3.8493293871174226,2.9788269508939496,3.4868121328533848,4.224208157031221,4.767082501197651,Rhizoprionodon longurio
0,4.812187430185949,3.9462981559001356,4.456963474926301,5.150554460396117,5.589870647187234,Rhizoprionodon oligolinx
0,3.7088488417568493,2.841379418986966,3.3658571975405405,4.072523235110532,4.617096185311927,Rhizoprionodon porosus
0,3.899772773863945,3.2140665281277694,3.6182958204034046,4.201469078205166,4.646055492511203,Rhizoprionodon terraenovae
0,5.298175056188956,3.9609064943000214,4.76910758470215,5.8233407130716,6.49523949702854,Scoliodon laticaudus
