,Lmax-S,Depth-S,K-S,Interbirth_interval-S,Amax-S,Litter-S,Offspring_size-S,Trophic-S,Ga50,GS,mu_a50,S_ABTP-SWP-13,S_ATSH-GOM-03,S_ATSH-NWA-07,S_ATSH-NWA-13,S_BNOS-GOM-11,S_BNOS-NWA-07,S_BNOS-NWA-11,S_BTIP-GOM-05,S_BTIP-GOM-12,S_BTIP-NWA-06,S_COP-SWA-03,S_DUS-NWA-06,S_DUS-NWA-11,S_FTH-GOM-03,S_FTH-NWA-07,S_GRE-SWP-06,S_NER-I-02,S_OCW-WCP-12,S_SAN-NWA-06,S_SAN-NWA-11,S_SPIN-WP-05,S_SPT-SWP-13,S_WTIP-SWP-06,S2
0,-0.8636554687194044,-0.5799560162841855,-0.2876996201006942,0.2819543942293142,-0.15989850010711004,0.29738235210535385,-0.2975937121180678,-0.5815685437832001,5.308320240681766,0.6231630725881804,5.308320240681766,0.6853596006288147,0.32020357303152674,0.8142742935619643,0.8142742935619643,0.8999330672182976,1.0137391227620614,1.0137391227620614,0.5802999331685419,0.5802999331685419,0.569645141585694,0.052722390381989004,0.060057050325003095,0.060057050325003095,1.3383173237381853,1.33831732917363,0.16683256366655508,1.0895919575333761,0.7677125100424387,0.06897812980334678,0.06897812980334678,0.5762357459626186,0.7475777079430299,0.7056046993801595,0.09999151930043576
1,-0.46886927545263835,-0.46989097693323356,-0.2532575303897707,0.27636269909218864,-0.4881415875479304,0.21113779425234286,-0.32583953373966545,-0.32856318991534583,5.165860669014675,0.5382473161257773,5.165860669014675,0.5150987163187486,0.2865245428726734,0.6771668173896508,0.6771668173896508,0.6779309415177367,0.7781126538200575,0.7781126538200575,0.6434224967032461,0.6434224967032461,0.6340432482977553,0.047256734639198605,0.05848010794559142,0.05848010794559142,1.192326212939534,1.192326217724272,0.16654211913979733,0.9918773935116008,0.8759122641638653,0.06617989113887968,0.06617989113887968,0.5554590165385471,0.4319573304904062,0.36570959874389375,0.09999135643780739
2,-0.492847863466947,-0.46617247239091614,-0.2489919906042086,0.22327731659171068,-0.4086207203137982,0.1497173030286854,-0.19718538189889662,-0.31173113600316793,5.217059496365689,0.6032929276293747,5.217059496365689,0.7080875610388395,0.37461300708513223,0.7808907692094661,0.7808907692094661,0.7859151606863928,0.8844095427878955,0.8844095427878955,0.7176360264862647,0.7176360264862647,0.7084147499174679,0.04707201397434718,0.0580067539946087,0.0580067539946087,1.252515803718242,1.2525158084223922,0.17941313936846942,0.9467829110317239,0.81729394186147,0.06985951484310993,0.06985951484310993,0.5382563934154705,0.6691194554821034,0.5741321748308792,0.0999704326502849
3,-0.5506316739422248,-0.44516617779787104,-0.3143152753521336,0.2920707985176187,-0.4461457988641642,0.15974576829852594,-0.17707256562386942,-0.3017955925040308,5.244832520054569,0.5952953645104847,5.244832520054569,0.6880141374436435,0.262594107878385,0.7692001314964985,0.7692001314964985,0.781849153749346,0.9061836303553932,0.9061836303553932,0.7176721368631825,0.7176721368631825,0.7060316496459582,0.045533363110795505,0.06024589850050845,0.06024589850050845,1.2631836176919349,1.2631836236302234,0.20135342921823404,0.9580592871449384,0.794695572647234,0.06720536626744869,0.06720536626744869,0.46146902993449923,0.6076264951969088,0.617185589482987,0.09998647856229509
4,-0.4840037618695673,-0.462715095350538,-0.337639368846061,0.2350380930221678,-0.5213757708224316,0.20379725056763043,-0.3139581663058969,-0.3695251637497696,5.429704160377515,0.5758861283442481,5.429704160377515,0.654409415580808,0.2334915257719999,0.7474173622898191,0.7474173622898191,0.6791649194392859,0.8127257658220772,0.8127257658220772,0.6712710105706534,0.6712710105706534,0.6587667288341673,0.04858980742477026,0.06024926443966557,0.06024926443966557,1.2558774102659287,1.255877416644874,0.22745157819543826,0.9561656361465556,0.958819718407536,0.07669545031474362,0.07669545031474362,0.5893216250813508,0.5151235393678888,0.4756039238831877,0.09997435570890519
5,-0.5177292968826483,-0.4539097860764895,-0.3113144426825385,0.23543541598236822,-0.4597019062998424,0.2030148042165567,-0.2899552991617034,-0.3742925309440115,5.374981030636341,0.5716421231454718,5.374981030636341,0.645161596144486,0.26232747216002855,0.7463070142799598,0.7463070142799598,0.6992734877177342,0.8224209174679183,0.8224209174679183,0.6502591743880756,0.6502591743880756,0.6387298212997679,0.04869932411570577,0.05723844737997828,0.05723844737997828,1.2319407613488003,1.2319407672303946,0.2299660857359871,0.949139543353539,0.8953360799539195,0.07803760682593491,0.07803760682593491,0.5595581204717821,0.5453482001292311,0.5018212520007435,0.0999932022973531
6,-0.49638405262018526,-0.45082623140722505,-0.32305790025154,0.23276751647511798,-0.49041074387228273,0.20450689424511898,-0.29746501098280653,-0.37572860496041194,5.39690460457124,0.5713753617848244,5.39690460457124,0.6505795293274138,0.2483827160525648,0.7441506149068357,0.7441506149068357,0.6826129806985106,0.8104057992187802,0.8104057992187802,0.6554193578043664,0.6554193578043664,0.6434550924529979,0.04816975546196056,0.05803824997857513,0.05803824997857513,1.2389658989078427,1.2389659050113038,0.24393448433495457,0.9435859930877705,0.9271880492099053,0.07183678160065193,0.07183678160065193,0.571287485927527,0.5341346595588878,0.4906691640009053,0.0999931046722814
7,-0.41473547524943777,-0.436604354569522,-0.30047379038967714,0.29546577503414184,-0.6081279894277207,0.13190926662163568,-0.2019243712149655,-0.21718360766863345,5.316686758828592,0.61025181009331,5.316686758828592,0.676444597631986,0.3129683241769116,0.7806816920310999,0.7806816920310999,0.7574368817557507,0.8762960476683246,0.8762960476683246,0.8039484051671849,0.8039484051671849,0.7928205294626921,0.046034447632244346,0.05850751636997659,0.05850751636997659,1.299324795970224,1.2993248016470085,0.216152470617182,0.9934978583730353,0.9000174647571936,0.07019239223237367,0.07019239223237367,0.5015702302960443,0.5470798598562772,0.5138672630316614,0.099995430742383
8,-0.7896299142173999,-0.5608974078919161,-0.2811594424000006,0.28190250006996215,-0.23401918255399035,0.33393089676137444,-0.4145831205173489,-0.5942437385088191,5.337700591153046,0.5613133779544006,5.337700591153046,0.5376724944289175,0.2635347920039314,0.7236530111185775,0.7236530111185775,0.7707292345473877,0.8819481757028506,0.8819481757028506,0.5058136388922463,0.5058136388922463,0.4954010590658522,0.047629097271467746,0.06286553060016925,0.06286553060016925,1.2583947394847974,1.2583947447966803,0.18242244081270248,1.0767799109347926,0.8424238494593561,0.07357640323839293,0.07357640323839293,0.618220318102002,0.5548014564334737,0.5080900365053815,0.09999504997086445
9,-0.7543968112092859,-0.625267225911115,-0.33158598615218077,0.3169091904897745,-0.41846077452600944,0.33014284707418406,-0.4488909786532753,-0.5619465190602163,5.222073582766207,0.640002860483317,5.222073582766207,0.6276437161155471,0.2972956854095055,0.8220873075224403,0.8220873075224403,0.8431593586763322,0.9743256533845464,0.9743256533845464,0.6617790022557523,0.6617790022557523,0.6494989040998769,0.04985174954677707,0.056708609049455155,0.056708609049455155,1.4434101197106197,1.4434101259752001,0.17386393078372064,1.2130941529729484,1.0173851811935601,0.07235881504340558,0.07235881504340558,0.6990865462843356,0.577914354542052,0.5099331912946201,0.09998675083980692
