,Lmax,Depth,Interbirth_interval,Amax,Litter,Offspring_size,Trophic,Temperature,Depth-S,K-S,Amax-S,Trophic-S,Temperature-S,Ga50,GS,mu_a50__0,mu_a50__1,mu_a50__2,mu_a50__3,mu_a50__4,mu_a50__5,mu_a50__6,mu_a50__7,mu_a50__8,mu_a50__9,mu_a50__10,mu_a50__11,mu_a50__12,mu_a50__13,mu_a50__14,mu_a50__15,mu_a50__16,mu_a50__17,mu_a50__18,mu_a50__19,mu_a50__20,mu_a50__21,mu_S__0,mu_S__1,mu_S__2,mu_S__3,mu_S__4,mu_S__5,mu_S__6,mu_S__7,mu_S__8,mu_S__9,mu_S__10,mu_S__11,mu_S__12,mu_S__13,mu_S__14,mu_S__15,mu_S__16,mu_S__17,mu_S__18,mu_S__19,mu_S__20,mu_S__21,S2
1400,-2.215302979327016,5.597247597630826,5.098882497852165,1.9079288146773947,3.644700315670875,3.670397886906981,-0.8870627711224339,-0.02048244053835091,0.8212608147402504,2.9762320940187905,0.9738610632916116,-0.8490639238533454,-0.8140862808606684,7.985333610893362,1.3683218257654937,2.6255434933484114,1.7549871864337856,1.8303195509639218,1.8303195509639218,5.319072798288859,5.319072798288859,5.319072798288859,7.119476892087432,7.119476892087432,7.119476892087432,21.704244370949556,19.72392046409662,19.72392046409662,3.4648791112219923,3.4648791112219923,5.426273563320894,9.525985268306291,13.360940931726116,13.360940931726116,7.922586934160939,1.6944878629431976,10.947461573044736,0.2885562790890335,5.594088047923246,1.4626858078939124,1.4626858078939124,2.234008424995191,1.0678320309935798,1.0678320309935798,0.5593086743368555,0.5593086743368555,0.6684888613449721,1.0379902265482115,1.8438159107462577,1.8438159107462577,1.5203236752252565,1.5203236195279792,1.1074592007103006,0.28642372109939673,0.36636295046994743,0.36636295046994743,2.05338202054728,2.7918711847030684,0.40015415624582623,0.09998049363422401
1401,-2.063943691736707,4.865959728976564,4.556634141478429,2.9665999790700184,3.4150359496765,3.306875188385835,-0.5680332937581655,0.0016970219882129864,0.4686214597886041,2.6413527825226915,0.9829863169312237,-0.6974475421474702,-0.5784105266030491,7.927219717846039,1.291197880224635,2.713846870873284,1.732916513655476,1.8012050412664522,1.8012050412664522,5.628497584831145,5.628497584831145,5.628497584831145,6.885385650395175,6.885385650395175,6.885385650395175,21.48620743598212,19.43416189443577,19.43416189443577,3.0604329005946886,3.0604329005946886,5.699071191401625,8.751217283084602,13.655937774349882,13.655937774349882,8.18579694973368,1.7357255747269005,10.648927046182624,0.3135759430632256,4.963957519745274,1.2974118816035651,1.2974118816035651,2.1352998270370698,1.1003391230655113,1.1003391230655113,0.6957812563935379,0.6957812563935379,0.7926767207391405,0.8558635801338157,1.543465178726344,1.543465178726344,1.4513180486496775,1.4513179992193395,1.2256985967861402,0.3206494066478524,0.35497671879168197,0.35497671879168197,1.8961802114343436,2.6060681531018695,0.40979904122294913,0.09992051766600794
1402,-2.1282934057531544,5.32546968716305,4.211994857218111,2.447296656568359,2.9300782514414743,4.202691837526638,-0.33499619068034214,-0.347294209434143,0.7809596977351373,2.0963886479023035,0.38246961204829927,-0.6044105563138122,-0.8077224809044744,7.989773024529439,1.1846028112258842,3.377908433200862,1.8049269050464933,1.9332970905211642,1.9332970905211642,5.537106437750519,5.537106437750519,5.537106437750519,7.276427704130592,7.276427704130592,7.276427704130592,21.73769763639097,19.567956654200973,19.567956654200973,3.1512066797049685,3.1512066797049685,4.967374171186136,8.642604774575377,13.350479412165752,13.350479412165752,8.192112580873287,1.8688055474933059,10.737094392052192,0.4900519073191523,4.301008941437449,1.3909453165873098,1.3909453165873098,1.784241749799959,0.9628142278167944,0.9628142278167944,0.5444911718234595,0.5444911718234595,0.6213951555818649,1.0604910754334071,1.534201340149119,1.534201340149119,1.4142770427276623,1.4142770034957959,0.9002954485451382,0.39414323213651753,0.32932731028740864,0.32932731028740864,1.6652500697192498,2.1218244324009343,0.37044705504414277,0.09987068430382211
1403,-2.2591976873517665,4.960884780275995,4.350649569711345,2.4439980986385175,2.96860074517961,3.993919405458678,-0.15576285576030904,-0.4427350553716348,0.5772731468507788,2.1612638608890142,0.6194070799264694,-0.6014154301941573,-0.5708442661243015,8.022345567599697,1.1347958970479637,3.267766201051072,1.8696689600394938,2.0198192089793796,2.0198192089793796,5.896270677413355,5.896270677413355,5.896270677413355,7.354020795112638,7.354020795112638,7.354020795112638,21.634504250671796,19.28907143762956,19.28907143762956,3.4055926316522394,3.4055926316522394,5.453005570305556,8.34286842477366,13.193177359782245,13.193177359782245,8.16754196880039,1.743356698916109,10.446694718970418,0.36747034747407514,4.250890278641935,1.250771311402903,1.250771311402903,1.767282797922615,0.9204352349107375,0.9204352349107375,0.5897085364780292,0.5897085364780292,0.6689924044868312,0.8135375148234154,1.3664056810050993,1.3664056810050993,1.2954230675948146,1.295423027148872,0.9890115449924363,0.37477459491357,0.34968380470832255,0.34968380470832255,1.5847289291283813,2.1988933021715593,0.4050727887465154,0.09990554960525427
1404,-2.2206356745995777,5.3231852014245264,4.292715698524441,2.1476226680578767,3.2341261879687755,4.165302889785679,-0.31202231311180345,-0.5716233488517422,0.427548855765666,1.6680391506324133,0.4915911817094676,-0.5035497274333439,-0.5995156251114879,7.911485696859632,1.0808116053834855,3.233216635018518,1.7726466652115707,1.8892509391132206,1.8892509391132206,5.534738191305369,5.534738191305369,5.534738191305369,7.169257624804563,7.169257624804563,7.169257624804563,22.215833656825875,19.394086116170026,19.394086116170026,3.25404280342281,3.25404280342281,5.080317954199164,8.523817866548706,12.997479375970903,12.997479375970903,8.131995392000498,1.6081837833373662,10.3049674600865,0.5245856016486001,3.422792878682121,1.1073347874839854,1.1073347874839854,1.6270517335055152,0.9734643047403791,0.9734643047403791,0.59886508651064,0.59886508651064,0.6600554845205597,0.9608036377206208,1.387608986186243,1.387608986186243,1.2796344662844616,1.2796344350687379,0.8850130609776168,0.4252229912070611,0.3518755346534629,0.3518755346534629,1.5801201271595606,1.85244643422209,0.44219706829031863,0.09979828939587826
