,a50mu,a505,a5025,a5075,a5095,species_full
0,13.882810933896216,9.664050432183378,12.178636631318929,15.707559862110845,18.277630780491357,Carcharhinus albimarginatus
0,14.41583645049488,9.302394073082873,12.411587374397415,16.731778051953782,20.02668457351072,Carcharhinus altimus
0,7.977298119344032,5.08157264729517,6.756113433834829,9.2696256179219,11.271320074951928,Carcharhinus amblyrhynchos
0,11.326152378903714,9.12197022676308,10.450383602697432,12.207881859031383,13.449800010383186,Carcharhinus amboinensis
0,14.520480876563113,11.469222420769208,13.253803869398832,16.061449765642152,18.250021636982794,Carcharhinus falciformis
0,0.2451245076358421,-4.375612995918152,-1.567834707619748,1.9678792274166241,4.523937343260992,Carcharhinus fitzroyensis
0,11.05072346038862,8.541247455993696,10.018553558072405,12.189402627891479,13.971365681842803,Carcharhinus galapagensis
0,11.919750374412793,10.007876450771095,11.119731098496446,12.694207327264326,13.84470901057948,Carcharhinus leucas
0,4.175094264163034,0.8787360988508626,2.9658283980759492,5.52420347567843,7.446989698487475,Carcharhinus macloti
0,3.5458473434226985,0.902396117436852,2.46824339245401,4.64222672396943,6.242537774081412,Carcharhinus melanopterus
0,7.961712128515711,4.785881686119588,6.751493182267234,9.171805944305593,11.32812274834924,Carcharhinus perezi
0,1.495622164020718,-4.363095117707958,-0.999463895486562,3.8329552430805616,7.263690682066583,Carcharhinus porosus
0,12.6788750130116,8.51868906259275,10.887647751426073,14.518915717056,17.232621323153225,Carcharhinus signatus
0,21.808243712883545,17.39057536818547,20.002810434836178,23.62624744992968,26.657011751758855,Galeocerdo cuvier
0,4.357702582039786,-0.32816907470785345,2.63967264564325,6.184793681024563,8.888279701399199,Isogomphodon oxyrhynchus
0,-0.02769895237700109,-2.6114113545668802,-1.1244682727092292,1.180057537646265,2.7682190059696272,Loxodon macrorhinus
0,9.358881029162566,6.36706825866525,8.030126219486862,10.555668114111423,12.352465175407563,Negaprion acutidens
0,9.64879260879714,6.430145136486578,8.254484202046706,10.90491468383654,12.973306085627877,Negaprion brevirostris
0,0.8060534734656881,-1.8336508496380677,-0.17765691103866216,1.9247160065937772,3.3750782483943973,Rhizoprionodon acutus
0,-2.3040800415279,-4.931290763953262,-3.4560454982621174,-1.2156987888749233,0.2636560295360838,Rhizoprionodon lalandii
0,1.0664508999730602,-2.501215734310847,-0.45553435471830295,2.505464849439278,4.441160776695463,Rhizoprionodon longurio
0,-5.2816453441101014,-9.35381873674129,-6.7797682389540235,-3.7066150286881205,-1.820201818649138,Rhizoprionodon oligolinx
0,6.96155108576079,1.451248664810507,4.8695477672773855,9.025948799367214,12.250559496571263,Rhizoprionodon porosus
0,2.0892757155555772,-0.7667677230142387,1.0361247771626743,3.218631878417562,4.849511731241662,Rhizoprionodon terraenovae
0,-7.670757052888963,-13.714472047994354,-10.084494216175331,-5.325518743962224,-2.3092450591286218,Scoliodon laticaudus
