,Lmax,Depth,K,Interbirth_interval,Amax,Litter,Offspring_size,Trophic,Ga50,GS,a50_ABTP-SWP-13,a50_ATSH-GOM-03,a50_ATSH-NWA-07,a50_ATSH-NWA-13,a50_BNOS-GOM-11,a50_BNOS-NWA-07,a50_BNOS-NWA-11,a50_BTIP-GOM-05,a50_BTIP-GOM-12,a50_BTIP-NWA-06,a50_COP-SWA-03,a50_DUS-NWA-06,a50_DUS-NWA-11,a50_FTH-GOM-03,a50_FTH-NWA-07,a50_GRE-SWP-06,a50_NER-I-02,a50_OCW-WCP-12,a50_SAN-NWA-06,a50_SAN-NWA-11,a50_SPIN-WP-05,a50_SPT-SWP-13,a50_WTIP-SWP-06,mu_S,S2
0,5.504195399645495,4.24855617942729,-1.5422007767691048,2.0736541615809934,3.527893764105947,1.087774020556954,3.457941361290144,3.878283216676617,7.969148159159825,0.9053332863110464,4.887719531544697,1.3849755448736807,2.149668140376334,2.149668140376334,5.405015610997084,6.01506781474762,6.01506781474762,7.1803340060625,7.1803340060625,7.123219478592391,20.594345653638,18.813587569429828,18.813587569429828,0.8656278543022828,0.8656278834387379,11.218845618520755,7.141570728020966,7.254609617073387,14.272562054316996,14.272562054316996,8.266793469888956,1.757701603710387,9.661915896208097,0.9053332863110464,0.09986241996296509
1,5.798209745860842,4.055569364302239,-1.5742619378959994,1.9139599201220034,3.6882669774406276,1.2491639100183893,3.439835867437335,3.7029965653302606,8.142338730938219,0.8142472403344799,5.159344228266797,1.400266745772996,2.106994409186027,2.106994409186027,5.460983111731024,6.083717828870797,6.083717828870797,7.2818045950784125,7.2818045950784125,7.223502700765096,21.13921958305587,19.224846420911362,19.224846420911362,0.9826872700398357,0.9826872997820151,11.18984275016036,7.292413096145019,7.719464748347606,14.365857135037256,14.365857135037256,8.851225389700442,1.9813506566141919,9.76436245303006,0.8142472403344799,0.09979174957887862
2,5.456531623119409,4.582796555843502,-1.5019914670404904,2.0826905013493784,3.975248092539511,0.9612739839014594,3.758571819399478,4.150597077439239,7.911321036147352,0.7819236529935095,4.783260626106783,1.2849252799645878,2.0374391932642437,2.0374391932642437,5.390354465981714,5.984500972899041,5.984500972899041,7.033247735291461,7.033247735291461,6.977622336707581,20.881256664162414,19.064051225131852,19.064051225131852,0.3665927566397169,0.3665927850165067,11.327836663145105,6.89426221073961,6.678350512180994,14.626210673218363,14.626210673218363,7.904365253056242,1.6792308599788157,9.934833818099083,0.7819236529935095,0.09997404124857101
3,6.046934028253683,4.235369714310893,-1.4368843771506183,2.1336824282638283,3.228151224191595,0.8064563050482755,3.518206002002886,4.169442195575594,8.061026610236365,0.816073449220305,4.934114113932454,1.4378226111388686,2.0236811033862487,2.0236811033862487,5.432646670097287,6.001038603248732,6.001038603248732,7.543516843621235,7.543516843621235,7.490302649032339,20.525913825458638,19.132926695172102,19.132926695172102,0.997368756136837,0.9973687832835734,11.116304431117497,6.995955167223599,7.54459591389964,14.339043278997325,14.339043278997325,8.549934033213633,1.7027070547255603,9.598164977325155,0.816073449220305,0.09981634989164255
4,5.61799224123136,4.421093252880878,-1.6962905853022623,2.238712335712779,3.5075835026692106,1.0355193578548656,3.7137562080585225,4.16102903824641,8.059203343317833,0.7619203422434604,4.944022498806705,1.1377204770732336,2.1099582781832424,2.1099582781832424,5.4671020562178105,6.138107949453633,6.138107949453633,7.353219610233164,7.353219610233164,7.290398454459594,20.996207561289054,19.15123277320448,19.15123277320448,0.7814561859446667,0.7814562179923068,11.342849345978506,7.186973500466664,7.184001285795585,14.525798610235922,14.525798610235922,8.123662704913361,1.6335626682132007,9.93562949653857,0.7619203422434604,0.099884118666275
5,5.880330793973718,4.434060944447841,-1.4507048611302193,2.2615352535012083,3.3083101526709386,0.8701713977298235,3.5754359906854023,4.263926018456825,7.993677039383621,0.7671633634687415,4.706388877791204,1.3646113129591086,1.9856316682694921,1.9856316682694921,5.387083672697023,5.960942609130828,5.960942609130828,7.410757903403286,7.410757903403286,7.3570318750610975,20.656430590161303,19.1300752633758,19.1300752633758,0.7758730410463843,0.7758730684542274,11.31179138372612,7.057147285471483,7.263734042578285,14.458133236680373,14.458133236680373,8.230873979036012,1.4841207480338898,9.592530667087555,0.7671633634687415,0.09985723477076758
6,5.885047418650619,4.380866932580226,-1.4949023980166698,2.2169446732256626,3.2689075360546114,0.958324471244478,3.7851999740697386,4.15337326963659,7.981476954677978,0.7783224115450219,4.913640852290347,1.3618489320608407,2.019714367255302,2.019714367255302,5.390594973982365,5.981937240203107,5.981937240203107,7.4041883849173065,7.4041883849173065,7.348825525967433,20.645175141047243,18.926474602013105,18.926474602013105,0.879101217799938,0.8791012460427958,11.357225690169269,7.0233001066296525,7.25500440309509,14.114944555790837,14.114944555790837,8.119696971544478,1.7717970313385187,9.734139565266203,0.7783224115450219,0.09988759509469382
7,6.351110278895118,4.323629664176173,-1.257115184064975,2.144991222298756,3.4740940723113165,0.878906258927827,3.9196002895668123,4.201606555831116,8.10754846566563,0.7480269785061164,5.008878989703379,1.5898167906843055,1.8431923164373734,1.8431923164373734,5.488664629897104,5.985944815434139,5.985944815434139,7.571982344007256,7.571982344007256,7.5254257991040765,20.9564451828828,19.41390135427711,19.41390135427711,0.8705778471766523,0.8705778709270495,11.347084294255087,6.950231176635755,7.455814316828288,14.203065654287524,14.203065654287524,8.56643197381553,1.997184055562009,9.810308813950629,0.7480269785061164,0.09987153547817151
8,5.990407561333486,4.077916152650391,-1.365765597564349,2.0723517825951547,3.812966632012876,1.118773150887747,3.7527101582134788,4.023291020936964,8.055630712911055,0.7897157761922246,4.940776077716596,1.4377803644879517,1.8496884547068975,1.8496884547068975,5.532059985009836,6.072319285323716,6.072319285323716,7.349435532999234,7.349435532999234,7.2988551819095155,21.178938698541053,19.302903415389718,19.302903415389718,0.7794991644730409,0.7794991902761463,10.903469794645977,7.212566158194647,7.303688410261703,14.26693116448197,14.26693116448197,8.593878496029069,1.9061969304295072,9.72974223917613,0.7897157761922246,0.09961861435149921
9,6.321009456666367,4.492955896403994,-1.5676299776009994,1.8599788684208693,3.2813269269721435,0.86181064642588,3.6549310970971924,4.4563116734670505,7.974983882768006,0.8362597410722007,4.9822430408856455,1.3228049775842052,2.022024320551094,2.022024320551094,5.143320730904504,5.7634320269864645,5.7634320269864645,7.403032750692793,7.403032750692793,7.344976467252039,21.05376819407065,19.124116138225798,19.124116138225798,0.493758251784171,0.49375828140105504,11.165983474564669,6.8923697390201735,7.384054546645341,14.589842564905343,14.589842564905343,8.358711588158053,1.5054432143972152,9.478541194273422,0.8362597410722007,0.09998525467376446
10,6.295840263684528,4.507075750766073,-1.5452395042227183,1.7887919868815096,3.348542101025464,0.891054436091109,3.6559027469421235,4.499552452084471,8.016997329947703,0.8371312790050085,5.030524664788119,1.4617315370707518,2.1265842437448965,2.1265842437448965,5.194987480200577,5.806241720941108,5.806241720941108,7.416358212162534,7.416358212162534,7.359131147151765,21.19299935330718,19.109231676254183,19.109231676254183,0.45894854365552806,0.45894857284939317,11.177723074138985,6.997893021460795,7.343945711387457,14.695744259811427,14.695744259811427,8.359857719864355,1.5630764117893805,9.482851125304556,0.8371312790050085,0.0999856697352921
